dbn,school_name,code1,program1,method1,total,count,average
26Q435,Martin Van Buren High School,Q38K,STEM Institute for Science Research,Screened,1,1,1.0
08X269,Bronx Studio School for Writers and Artists,Y28A,Bronx Studio School for Writers and Artists,Ed. Opt.,1,1,1.0
21K348,High School of Sports Management,K97R,Sport Management,Ed. Opt.,1,1,1.0
03M494,High School of Arts and Technology,M12A,Arts & Technology,Ed. Opt.,1,1,1.0
10X524,Crotona International High School,Y56A,Digital Media/Recording Entertainment Technology,Screened: Language,1,1,1.0
10X225,Theatre Arts Production Company School,X20B,Instrumental Music,Audition,1,1,1.0
26Q430,Francis Lewis High School,Q20A,Jacob K. Javits Law Institute,Ed. Opt.,1,1,1.0
12X684,Wings Academy,X93A,Academy for Excellence,Ed. Opt.,1,1,1.0
28Q325,Hillside Arts & Letters Academy,Q46A,Hillside Arts & Letters Academy,Ed. Opt.,1,1,1.0
11X514,The Bronxwood Preparatory Academy,X85R,The Bronxwood Preparatory Academy,Ed. Opt.,1,1,1.0
12X478,The Cinema School,Y42A,The Cinema School,Screened,1,1,1.0
11X545,Bronx Aerospace High School,X30A,Bronx Aerospace High School,Ed. Opt.,1,1,1.0
15K592,Khalil Gibran International Academy,L61A,Khalil Gibran International Academy,Ed. Opt.,1,1,1.0
10X434,Belmont Preparatory High School,X42A,College and University Transitional Seminar,Screened,1,1,1.0
31R450,Curtis High School,R19A,Software Engineering Institute,Open,1,1,1.0
19K615,Transit Tech Career and Technical Education High School,K69B,Computer Forensic Science and Technology,Ed. Opt.,1,1,1.0
02M135,The Urban Assembly School for Emergency Management,M28A,The Urban Assembly School for Emergency Management,Ed. Opt.,1,1,1.0
09X327,Comprehensive Model School Project M.S. 327,Y27A,Comprehensive Model School Project (CMSP),Open,1,1,1.0
