location_code,location_name,prop_n,location_code_1,avgofprop_n,schools,total_non_criminal_incidents
K628,Brooklyn Brownstone School,,K628,,2,
M158,P.S. 158 Bayard Taylor,3.0,M158,0.63,2,0.0
M212,P.S. 212 Midtown West,1.0,M212,0.51,1,2.0
K179,P.S. 179 Kensington,1.0,K179,0.63,1,6.0
M042,P.S. 042 Benjamin Altman,0.0,M042,0.75,1,1.0
K285,I.S. 285 Meyer Levin,0.0,K285,0.63,1,1.0
M234,P.S. 234 Independence School,,M234,,3,
M194,P.S. 194 Countee Cullen,,M194,,3,
M084,P.S. 084 Lillian Weber,1.0,M084,0.98,2,2.0
Q014,P.S. 014 Fairview,0.0,Q014,1.39,1,0.0
K012,430 HOWARD AVENUE CONSOLIDATED LOCATION,0.0,K012,0.63,2,8.0
M084,32 WEST  92 STREET CONSOLIDATED LOCATION,,M084,0.98,2,2.0
K031,P.S. 031 Samuel F. Dupont,0.0,K031,0.75,1,0.0
M084,32 WEST  92 STREET CONSOLIDATED LOCATION,,M084,,2,2.0
K455,1700 FULTON STREET CONSOLIDATED LOCATION,,K455,,3,
K078,J.H.S. 078 Roy H. Mann,,K078,,2,1.0
M408,Professional Performing Arts High School,,M408,,2,2.0
K712,EXCELLENCE GIRLS CHARTER SCHOOL(BN),,K712,,2,
K284,P.S. 284 Lew Wallace,0.0,K284,0.98,1,7.0
M047,223 EAST 23 STREET CONSOLIDATED LOCATION,,M047,,2,
K147,P.S. 147 Isaac Remsen,0.0,K147,0.75,1,5.0
M223,The Mott Hall School,,M223,,3,
M079,P.S. M079 - Horan School,2.0,M079,0.75,1,2.0
K223,4200 16 AVENUE CONSOLIDATED LOCATION,,K223,,2,
X377,Bronx Community High School,,X377,,8,
K041,P.S. 041 Francis White,0.0,K041,0.63,1,5.0
K414,325 SOUTH  3 STREET CONSOLIDATED LOCATION,0.0,K414,0.75,1,1.0
M084,P.S. 084 Lillian Weber,1.0,M084,,2,2.0
Q008,108-35 167 STREET CONSOLIDATED LOCATION,2.0,Q008,2.55,1,4.0
M452,P.S. 452,,M452,,3,
K195,P.S. 195 Manhattan Beach,0.0,K195,0.75,1,3.0
K301,Satellite East Middle School,1.0,K301,0.63,1,1.0
K630,Professional Pathways High School,,K630,,4,
M094,P.S. M094,0.0,M094,0.75,1,1.0
K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,1.0,K366,0.63,1,3.0
K405,Midwood High School,4.0,K405,2.55,5,20.0
M539,"New Explorations into Science, Technology and Math",2.0,M539,0.75,1,5.0
K670,Benjamin Banneker Academy,1.0,K670,0.75,1,0.0
K373,P.S. 373 - Brooklyn Transition Center,,K373,,2,
K104,P.S./I.S. 104 The Fort Hamilton School,0.0,K104,1.72,1,4.0
K580,105 TECH PLACE CONSOLIDATED LOCATION,,K580,,2,
X368,In-Tech Academy (M.S. / High School 368),,X368,,3,
X600,333 EAST 151 STREET CONSOLIDATED LOCATION,,X600,,4,
Q176,P.S. 176 Cambria Heights,0.0,Q176,0.98,1,0.0
K674,"City Polytechnic High School of Engineering, Archi",,K674,,2,
K553,Brooklyn Academy High School,5.0,K553,0.98,3,23.0
R021,P.S. 21 Margaret Emery-Elm Park,2.0,R021,0.75,1,0.0
M149,34 WEST 118 STREET,1.0,M149,0.63,1,1.0
K420,999 JAMAICA AVENUE CONSOLIDATED LOCATION,,K420,,5,
K243,P.S. 243K- The Weeksville School,0.0,K243,0.51,1,5.0
K738,New Visions Charter High School for Advanced Math,,K738,,4,
X434,Belmont Preparatory High School,1.0,X434,3.63,6,50.0
