snow_priority,post_type,stname_label,seglocstatus,total,average,count
S,AVE,81 AVE,,260.06494519,260.06494519,1
C,BLVD,WOODHAVEN BLVD,,259.76170527,259.76170527,1
S,PL,144 PL,,462.36332543,462.36332543,1
S,ST,SEIGEL ST,,76.74447958,76.74447958,1
C,ST,ERSKINE ST,,708.89171637,708.89171637,1
C,AVE,ATLANTIC AVE,,,,1
C,AVE,UTICA AVE,X,284.8654269,284.8654269,1
H,,AVE X,X,261.15299215,261.15299215,1
C,PARK,PROSPECT PARK W,,83.57472558,83.57472558,1
,,ALLEY,H,774.7368635,387.36843175,2
C,PKWY,GRAND CENTRAL PKWY,,490.08673088,490.08673088,1
C,AVE,SUTTER AVE,X,86.50823951,86.50823951,1
S,AVE,KLONDIKE AVE,,271.34839942,271.34839942,1
S,AVE,63 AVE,X,259.56623983,259.56623983,1
S,ST,90 ST,X,143.60868412,143.60868412,1
C,BLVD,ROCKAWAY BLVD,X,218.26042447,218.26042447,1
C,AVE,84 AVE,,410.35945032,410.35945032,1
S,RD,49 RD,H,295.49800879,295.49800879,1
S,ST,W 10 ST,,854.89983204,854.89983204,1
S,ST,KING ST,,250.59612914,250.59612914,1
S,AVE,LELAND AVE,,780.00809207,780.00809207,1
C,ST,E 63 ST,X,507.75481608,507.75481608,1
S,ST,183 ST,,922.56649996,922.56649996,1
C,PL,PARK PL,,779.86933228,779.86933228,1
C,,AVE N,,269.29469156,269.29469156,1
S,DR,DOGWOOD DR,,259.83557303,259.83557303,1
C,,AVE U,,131.83249198,131.83249198,1
C,AVE,CHAPIN AVE,,359.29545657,359.29545657,1
C,AVE,TRINITY AVE,,297.49178464,297.49178464,1
S,AVE,DOANE AVE,,790.467655,790.467655,1
V,DR,MILFORD DR,,248.67435892,248.67435892,1
S,AVE,WATERBURY AVE,,268.26531241,268.26531241,1
C,BLVD,ADAM CLAYTON POWELL JR BLVD,,24.58180323,24.58180323,1
C,AVE,2 AVE,,260.40253807,260.40253807,1
C,ST,DELANCEY ST,,237.85460084,237.85460084,1
C,,BROADWAY,X,96.06855655,96.06855655,1
H,AVE,RADCLIFF AVE,,355.43412199,355.43412199,1
C,AVE,ARDEN AVE,X,258.90624242,258.90624242,1
C,AVE,CYPRESS AVE,,260.83407477,260.83407477,1
S,AVE,LIVONIA AVE,X,264.86551599,264.86551599,1
V,RD,ROSE M SINGER CENTER ACCESS RD,H,34.42910001,34.42910001,1
C,AVE,CENTRAL AVE,,131.31108,131.31108,1
C,BLVD,LINDEN BLVD,,65.89434388,65.89434388,1
