location,latitude,longitude,category,count,avg_value,total_value,max_value
"{'type': 'Point', 'coordinates': [-73.954735, 40.743072]}",40.743072,-73.954735,high,1920,210017.0,403232640.0,210017
"{'type': 'Point', 'coordinates': [-73.871966, 40.751412]}",40.751412,-73.871966,high,1,213549.0,213549.0,213549
"{'type': 'Point', 'coordinates': [-73.96183, 40.661566]}",40.661566,-73.96183,normal,1,180403.0,180403.0,180403
"{'type': 'Point', 'coordinates': [-73.796759, 40.767047]}",40.767047,-73.796759,high,1,218801.0,218801.0,218801
"{'type': 'Point', 'coordinates': [-73.940272, 40.84313]}",40.84313,-73.940272,very_high,1,246312.0,246312.0,246312
"{'type': 'Point', 'coordinates': [-73.85905, 40.755645]}",40.755645,-73.85905,high,2,214778.0,429556.0,214778
"{'type': 'Point', 'coordinates': [-73.810428, 40.729931]}",40.729931,-73.810428,high,630,205328.0,129356640.0,205328
"{'type': 'Point', 'coordinates': [-73.745031, 40.696135]}",40.696135,-73.745031,normal,1,192977.0,192977.0,192977
"{'type': 'Point', 'coordinates': [-73.905579, 40.725646]}",40.725646,-73.905579,high,1,203732.0,203732.0,203732
"{'type': 'Point', 'coordinates': [-73.914099, 40.699086]}",40.699086,-73.914099,normal,1,193921.0,193921.0,193921
"{'type': 'Point', 'coordinates': [-73.978975, 40.756657]}",40.756657,-73.978975,high,1,214894.0,214894.0,214894
"{'type': 'Point', 'coordinates': [-74.013749, 40.704036]}",40.704036,-74.013749,normal,4,195870.0,783480.0,195870
"{'type': 'Point', 'coordinates': [-73.973753, 40.680824]}",40.680824,-73.973753,normal,1,187213.0,187213.0,187213
"{'type': 'Point', 'coordinates': [-73.973806, 40.681815]}",40.681815,-73.973806,normal,1,187523.0,187523.0,187523
"{'type': 'Point', 'coordinates': [-73.95318, 40.726699]}",40.726699,-73.95318,high,400,204143.0,81657200.0,204143
"{'type': 'Point', 'coordinates': [-73.801942, 40.686371]}",40.686371,-73.801942,normal,1,189285.0,189285.0,189285
"{'type': 'Point', 'coordinates': [-73.96552, 40.767241]}",40.767241,-73.96552,high,1,218770.0,218770.0,218770
"{'type': 'Point', 'coordinates': [-73.999831, 40.644453]}",40.644453,-73.999831,normal,2,174028.0,348056.0,174028
"{'type': 'Point', 'coordinates': [-73.880338, 40.744092]}",40.744092,-73.880338,high,2,209886.0,419772.0,209886
"{'type': 'Point', 'coordinates': [-73.90056, 40.672731]}",40.672731,-73.90056,normal,24,184311.0,4423464.0,184311
"{'type': 'Point', 'coordinates': [-73.90236, 40.874268]}",40.874268,-73.90236,very_high,3,257807.0,773421.0,257807
"{'type': 'Point', 'coordinates': [-73.85065, 40.785297]}",40.785297,-73.85065,high,1,225382.0,225382.0,225382
"{'type': 'Point', 'coordinates': [-73.983361, 40.608589]}",40.608589,-73.983361,normal,1,161004.0,161004.0,161004
"{'type': 'Point', 'coordinates': [-73.905784, 40.835724]}",40.835724,-73.905784,very_high,1,243768.0,243768.0,243768
"{'type': 'Point', 'coordinates': [-73.832172, 40.852479]}",40.852479,-73.832172,very_high,1,249903.0,249903.0,249903
"{'type': 'Point', 'coordinates': [-73.914455, 40.703003]}",40.703003,-73.914455,normal,1,195430.0,195430.0,195430
"{'type': 'Point', 'coordinates': [-74.028117, 40.617562]}",40.617562,-74.028117,normal,2,164344.0,328688.0,164344
"{'type': 'Point', 'coordinates': [-73.870378, 40.749527]}",40.749527,-73.870378,high,1,212870.0,212870.0,212870
"{'type': 'Point', 'coordinates': [-73.799873, 40.723345]}",40.723345,-73.799873,high,2640,202745.0,535246800.0,202745
"{'type': 'Point', 'coordinates': [-73.871713, 40.673013]}",40.673013,-73.871713,normal,1,184414.0,184414.0,184414
"{'type': 'Point', 'coordinates': [-73.890874, 40.745384]}",40.745384,-73.890874,high,1,210860.0,210860.0,210860
"{'type': 'Point', 'coordinates': [-74.008504, 40.612056]}",40.612056,-74.008504,normal,1,162170.0,162170.0,162170
"{'type': 'Point', 'coordinates': [-73.987291, 40.71759]}",40.71759,-73.987291,high,1,200591.0,200591.0,200591
"{'type': 'Point', 'coordinates': [-73.816631, 40.710028]}",40.710028,-73.816631,normal,2,197873.0,395746.0,197873
"{'type': 'Point', 'coordinates': [-74.023535, 40.626176]}",40.626176,-74.023535,normal,4,167435.0,669740.0,167435
"{'type': 'Point', 'coordinates': [-73.937722, 40.755517]}",40.755517,-73.937722,high,2,214519.0,429038.0,214519
"{'type': 'Point', 'coordinates': [-73.87801, 40.831133]}",40.831133,-73.87801,very_high,1,241955.0,241955.0,241955
"{'type': 'Point', 'coordinates': [-73.975425, 40.65181]}",40.65181,-73.975425,normal,1,176644.0,176644.0,176644
"{'type': 'Point', 'coordinates': [-74.001704, 40.751985]}",40.751985,-74.001704,high,2,213296.0,426592.0,213296
"{'type': 'Point', 'coordinates': [-73.875687, 40.685621]}",40.685621,-73.875687,normal,1,189056.0,189056.0,189056
"{'type': 'Point', 'coordinates': [-73.866813, 40.754603]}",40.754603,-73.866813,high,1,214152.0,214152.0,214152
"{'type': 'Point', 'coordinates': [-73.943155, 40.590106]}",40.590106,-73.943155,normal,1,154351.0,154351.0,154351
"{'type': 'Point', 'coordinates': [-73.979545, 40.757637]}",40.757637,-73.979545,high,1,215325.0,215325.0,215325
