facility_name,facility_name_1,current_site_ups_output_energy,current_source_energy,current_total_ghg_emissions,current_site_pdu_input_energy,total_indirect_ghg_emissions
Cooper Squ,Cooper Squ,,111.1,537.3,,192.52
684 Broadw,684 Broadw,,183.2,589.24,,173.75
DEPM 2934,DEPM 2934,,116.2,1297.37,,1297.37
SEWARD PAR,SEWARD PAR,,182.5,3008.04,,3996.78
(8084) - 59 West 12 Street,(8084) - 59 West 12 Street,,107.5,750.09,,213.18
DEPM 1802 - 70 East 10th St,DEPM 1802 - 70 East 10th St,,120.1,2996.14,,977.53
Trinity -,Trinity -,,259.5,7230.74,,6007.62
409 Lafaye,409 Lafaye,,153.4,427.26,,324.98
Snug Harbo,Snug Harbo,,114.2,587.04,,102.03
Kimmel Center,Kimmel Center,,84.0,619.31,,541.25
The Tower 270 Condominium,The Tower 270 Condominium,,,,,
Hudson Crossing,Hudson Crossing,,151.5,1115.91,,667.69
740 Broadw,740 Broadw,,258.0,2537.1,,2102.08
53 Park Place - Lionshead 53 Dev. LLC,53 Park Place - Lionshead 53 Dev. LLC,,141.8,695.47,,375.36
101 Ludlow,101 Ludlow,,185.9,666.06,,398.51
583-587 Broadway,583-587 Broadway,,220.0,917.54,,728.77
(7554) - The Setai,(7554) - The Setai,,269.1,2332.12,,2275.92
HERNANDEZ,HERNANDEZ,,289.4,1778.26,,334.85
Milstein -,Milstein -,,145.8,1398.59,,1873.71
(7406) - The Downtown Club Condominium,(7406) - The Downtown Club Condominium,,173.6,1499.63,,1477.37
27 East 13,27 East 13,,,,,
ELLIOTT,ELLIOTT,,,,,
CAMPOS PLA,CAMPOS PLA,,24.8,251.42,,649.88
Ironclad A,Ironclad A,,96.2,468.2,,12.82
780 Greenwich Street,780 Greenwich Street,,134.1,380.65,,122.31
VLADECK,VLADECK,,,,,
110 Greenwich Street,110 Greenwich Street,,102.7,261.5,,72.16
670 Broadw,670 Broadw,,192.9,484.06,,269.78
Manhattan,Manhattan,,257.8,1316.19,,700.14
80 Pine St,80 Pine St,,327.3,13674.36,,13674.36
8 Washington Mews,8 Washington Mews,,0.1,0.01,,0.01
11 Waverly Place,11 Waverly Place,,167.4,618.96,,240.68
718 Broadw,718 Broadw,,148.0,562.21,,185.54
175 Water,175 Water,,288.0,4485.8,,4456.71
25th Stree,25th Stree,,90.8,453.2,,892.12
SL Green Realty Corporation 100 Church Street,SL Green Realty Corporation 100 Church Street,,111.1,6495.73,,6495.73
La Maison Francaise,La Maison Francaise,,66.9,4.9,,4.9
555 West 23rd Street,555 West 23rd Street,,175.5,1918.8,,1053.41
The Caledo,The Caledo,,282.4,4594.12,,1845.47
156-168 Ea,156-168 Ea,,144.8,432.16,,110.96
180 Varick LLC,180 Varick LLC,,146.4,1810.39,,1361.62
10 Washington Mews,10 Washington Mews,,,,,
DEPM 2964,DEPM 2964,,182.9,2500.63,,759.61
Tate,Tate,,174.0,1955.08,,863.54
Houston St,Houston St,,187.2,718.03,,180.51
41 East 11th St,41 East 11th St,,188.0,1293.87,70740.0,1066.93
55 Broad S,55 Broad S,,292.5,4064.18,,4064.18
West 27th Street,West 27th Street,,26.7,78.79,,127.41
584 Broadway LLC,584 Broadway LLC,,175.0,1347.85,,1133.17
40 Wall Street,40 Wall Street,,,,,
