bin,bin_1,latitude,longitude,latitude_1,longitude_1,total_permit_sequence
4207097,4207097,40.70526,-73.80771,40.70526,-73.80771,8.0
1813504,1813504,40.840311,-73.938481,40.840311,-73.938481,3.0
1035254,1035254,40.764946,-73.974539,40.764946,-73.974539,2.0
3240575,3240575,40.612939,-73.926063,40.612939,-73.926063,4.0
1062926,1062926,40.838536,-73.941595,40.838536,-73.941595,1.0
3013286,3013286,40.645262,-74.012072,40.645262,-74.012072,2.0
3027226,3027226,40.659329,-73.981261,40.659329,-73.981261,18.0
3849977,3849977,40.617545,-73.985949,40.617545,-73.985949,4.0
1030865,1030865,40.782362,-73.98084,40.782362,-73.98084,1.0
1084564,1084564,40.774296,-73.981254,40.774296,-73.981254,1.0
1016943,1016943,40.745512,-73.985449,40.745512,-73.985449,1.0
4314470,4314470,40.748262,-73.87788,40.748262,-73.87788,1.0
3065477,3065477,40.725309,-73.957522,40.725309,-73.957522,1.0
1053899,1053899,40.814358,-73.940659,40.814358,-73.940659,3.0
5146593,5146593,40.570116,-74.109124,40.570116,-74.109124,1.0
1007223,1007223,40.721323,-73.997987,40.721323,-73.997987,2.0
1006173,1006173,40.725602,-73.988047,40.725602,-73.988047,1.0
1083967,1083967,40.804822,-73.945457,40.804822,-73.945457,3.0
1023396,1023396,40.76456,-73.979867,40.76456,-73.979867,1.0
2001880,2001880,40.818132,-73.918855,40.818132,-73.918855,1.0
1003803,1003803,40.714719,-73.991328,40.714719,-73.991328,1.0
5115054,5115054,40.501689,-74.249165,40.501689,-74.249165,1.0
4075089,4075089,40.724209,-73.85425,40.724209,-73.85425,4.0
3152873,3152873,40.621647,-74.024826,40.621647,-74.024826,1.0
5138777,5138777,40.630285,-74.142274,40.630285,-74.142274,4.0
1022565,1022565,40.753749,-73.984916,40.753749,-73.984916,4.0
3421992,3421992,40.698195,-73.932467,40.698195,-73.932467,1.0
2084160,2084160,40.886191,-73.909818,40.886191,-73.909818,8.0
1078988,1078988,40.706531,-74.011022,40.706531,-74.011022,1.0
1047659,1047659,40.778011,-73.956166,40.778011,-73.956166,1.0
3097716,3097716,40.661443,-73.879073,40.661443,-73.879073,2.0
4140252,4140252,40.742916,-73.824025,40.742916,-73.824025,8.0
4207743,4207743,40.711093,-73.816588,40.711093,-73.816588,1.0
1025180,1025180,40.763249,-73.986467,40.763249,-73.986467,33.0
1079184,1079184,40.752531,-74.007616,40.752531,-74.007616,1.0
3220052,3220052,40.619089,-73.924799,40.619089,-73.924799,1.0
4098145,4098145,40.784526,-73.85033,40.784526,-73.85033,1.0
2015088,2015088,40.861411,-73.912223,40.861411,-73.912223,9.0
1006963,1006963,40.72033,-73.996916,40.72033,-73.996916,8.0
1008664,1008664,40.729404,-73.99991,40.729404,-73.99991,2.0
1078386,1078386,40.760901,-73.958109,40.760901,-73.958109,4.0
1029665,1029665,40.775852,-73.979943,40.775852,-73.979943,2.0
1011443,1011443,40.737688,-74.004687,40.737688,-74.004687,1.0
4052488,4052488,40.724419,-73.842236,40.724419,-73.842236,4.0
3156007,3156007,40.61382,-74.032812,40.61382,-74.032812,1.0
3136995,3136995,40.635908,-73.989072,40.635908,-73.989072,1.0
4137719,4137719,40.765839,-73.76885,40.765839,-73.76885,1.0
3323653,3323653,40.680715,-73.939714,40.680715,-73.939714,2.0
2084040,2084040,40.888361,-73.90422,40.888361,-73.90422,4.0
