facility_name,building_id_espm,address_1,total,count,average
80 Pine St,1423089,80 Pine Street,13674.36,1,13674.36
Trinity -,2379262,345 Hudson street,7230.74,1,7230.74
SL Green Realty Corporation 100 Church Street,2712491,100 Church Street,6495.73,1,6495.73
SEWARD PAR,2831187,62 ESSEX ST - SEWARD PRK ENT BLDG 1,6016.08,2,3008.04
The Caledo,3114461,450 West 17th Street,4594.12,1,4594.12
175 Water,1413685,175 Water Street,4485.8,1,4485.8
Milstein -,2654417,21 South End Avenue,4195.7699999999995,3,1398.59
55 Broad S,1423560,55 Broad Street,4064.18,1,4064.18
DEPM 1802 - 70 East 10th St,2685844,70 East 10th Street,2996.14,1,2996.14
740 Broadw,2817542,740 Broadway,2537.1,1,2537.1
DEPM 2964,2704649,24 Fifth Avenue,2500.63,1,2500.63
(7554) - The Setai,3129002,40 Broad St,2332.12,1,2332.12
Tate,3114446,535 West 23rd Street,1955.08,1,1955.08
555 West 23rd Street,2650518,555 West 23rd Street,1918.8,1,1918.8
180 Varick LLC,2640841,180 Varick Street,1810.39,1,1810.39
HERNANDEZ,2831062,189 ALLEN STREET - HERNANDEZ HOUSES,1778.26,1,1778.26
(7406) - The Downtown Club Condominium,2676431,20 West St,1499.63,1,1499.63
584 Broadway LLC,2640847,584 Broadway,1347.85,1,1347.85
Manhattan,2815137,101 Murray St,1316.19,1,1316.19
DEPM 2934,2704587,37 West 12th Street,1297.37,1,1297.37
41 East 11th St,2660336,41 East 11th St,1293.87,1,1293.87
Hudson Crossing,2806001,400 W. 37th St.,1115.91,1,1115.91
CAMPOS PLA,2830982,635 EST 12TH ST.- CAMPUS PLAZA BLD #1,1005.68,4,251.42
583-587 Broadway,2669668,583-587 Broadway,917.54,1,917.54
25th Stree,3114290,511-541 W 25th Street,906.4,2,453.2
(8084) - 59 West 12 Street,2682647,59 West 12 Street,750.09,1,750.09
Houston St,3128193,180 West Houston Street,718.03,1,718.03
53 Park Place - Lionshead 53 Dev. LLC,2736217,53 Park Place,695.47,1,695.47
101 Ludlow,2425340,101 Ludlow St,666.06,1,666.06
Kimmel Center,2825722,60 Washington Square South,619.31,1,619.31
11 Waverly Place,2684802,11 Waverly Place,618.96,1,618.96
684 Broadw,3115614,684 Broadway,589.24,1,589.24
Snug Harbo,2787039,303 Mercer Street,587.04,1,587.04
718 Broadw,2717837,718 Broadway,562.21,1,562.21
Cooper Squ,2660516,200 East 5th Street,537.3,1,537.3
670 Broadw,2732119,670 Broadway,484.06,1,484.06
Ironclad A,2975793,134-140 Grand Street,468.2,1,468.2
156-168 Ea,2641248,160 East 3rd Street,432.16,1,432.16
409 Lafaye,2811083,409 Layfayette St.,427.26,1,427.26
780 Greenwich Street,2809195,780 Greenwich Street,380.65,1,380.65
110 Greenwich Street,2921875,110 Greenwich Street,261.5,1,261.5
West 27th Street,3119603,530-542 W 27th St.,236.37,3,78.79
La Maison Francaise,2921358,16 Washington Mews,4.9,1,4.9
8 Washington Mews,2921353,8 Washington Mews,0.01,1,0.01
