city,tablet_status,generated_on,corner,boro,category,count,avg_value,total_value,max_value
New York,up,2023-04-17 06:00:00.629,NE,Queens,moderate,5,,,
New York,up,2023-04-17 06:00:00.629,MIDBLOCK,Queens,moderate,2,,,
New York,up,2023-04-17 06:00:00.629,MIDBLOCK,Manhattan,moderate,1,,,
New York,up,2023-04-17 06:00:00.629,SW,Staten Island,moderate,1,,,
New York,up,2023-04-17 06:00:00.629,SE,Queens,moderate,6,,,
New York,up,2023-04-17 06:00:00.629,MIDBLOCK,Staten Island,moderate,1,,,
New York,up,2023-04-17 06:00:00.629,NE,Manhattan,moderate,5,,,
New York,up,2023-04-17 06:00:00.629,NW,Manhattan,moderate,7,,,
New York,up,2023-04-17 06:00:00.629,SW,Queens,moderate,2,,,
New York,up,2023-04-17 06:00:00.629,NW,Queens,moderate,2,,,
New York,up,2023-04-17 06:00:00.629,SW,Manhattan,moderate,2,,,
New York,up,2023-04-17 06:00:00.629,,Queens,moderate,1,,,
New York,up,2023-04-17 06:00:00.629,SE,Manhattan,moderate,9,,,
