block,longitude,latitude,t5_block,category,count,avg_value,total_value,max_value
1014,-73.988648,40.75676,1014,low,1,14700.0,14700.0,14700.0
3357,-73.919081,40.688967,3357,low,2,57438.0,114876.0,57438.0
5469,-73.817241,40.833576,5469,low,1,10000.0,10000.0,10000.0
424,-73.98843,40.681104,424,low,1,0.0,0.0,0.0
829,-73.989354,40.744747,829,low,1,0.0,0.0,0.0
1261,-73.980332,40.755774,1261,low,2,4000.0,8000.0,4000.0
14260,-73.766948,40.653478,14260,low,1,1150.0,1150.0,1150.0
585,-74.00551,40.732429,585,low,1,6000.0,6000.0,6000.0
9756,-73.799838,40.703492,9756,low,1,5000.0,5000.0,5000.0
1249,-73.978018,40.789844,1249,low,1,7700.0,7700.0,7700.0
498,-73.997987,40.724013,498,low,1,20000.0,20000.0,20000.0
3087,-73.887656,40.853559,3087,low,1,6000.0,6000.0,6000.0
632,-74.007152,40.734375,632,low,2,9000.0,18000.0,9000.0
1549,-73.878281,40.737942,1549,medium,1,158730.0,158730.0,158730.0
5111,-73.951048,40.648083,5111,low,1,10000.0,10000.0,10000.0
500,-73.999791,40.724491,500,medium,1,203626.0,203626.0,203626.0
646,-74.007975,40.741827,646,medium,1,110000.0,110000.0,110000.0
1142,-73.955825,40.67764,1142,low,1,37500.0,37500.0,37500.0
2238,-73.94929,40.704171,2238,low,1,32500.0,32500.0,32500.0
1382,-73.966649,40.768937,1382,low,1,1000.0,1000.0,1000.0
11086,-73.746443,40.712648,11086,low,1,5250.0,5250.0,5250.0
3699,-74.101284,40.574661,3699,low,1,50000.0,50000.0,50000.0
5309,-73.982606,40.644331,5309,low,1,10000.0,10000.0,10000.0
1261,-73.979704,40.756306,1261,low,2,38850.0,77700.0,38850.0
1786,-73.944804,40.690637,1786,low,1,7000.0,7000.0,7000.0
2582,-73.905272,40.81244,2582,medium,1,216750.0,216750.0,216750.0
4355,-73.883508,40.660605,4355,high,1,1574865.0,1574865.0,1574865.0
1390,-73.932864,40.669831,1390,low,1,4000.0,4000.0,4000.0
2411,-73.954656,40.710618,2411,low,1,100.0,100.0,100.0
3611,-73.898806,40.709562,3611,low,1,1000.0,1000.0,1000.0
867,-73.979858,40.749137,867,low,1,68250.0,68250.0,68250.0
1290,-73.975295,40.761131,1290,low,1,1.0,1.0,1.0
1273,-73.974633,40.763255,1273,medium,1,101372.6,101372.6,101372.6
85,-73.94526,40.745242,85,low,1,1000.0,1000.0,1000.0
2110,-73.8567,40.732567,2110,medium,1,162500.0,162500.0,162500.0
2449,-73.916024,40.831785,2449,medium,1,150000.0,150000.0,150000.0
1234,-73.97605,40.788817,1234,low,1,100000.0,100000.0,100000.0
3641,-73.862976,40.821409,3641,high,1,999758.48,999758.48,999758.48
1720,-73.948449,40.699963,1720,low,1,1800.0,1800.0,1800.0
1892,-73.968045,40.802454,1892,low,1,5000.0,5000.0,5000.0
1015,-73.990245,40.670237,1015,low,1,500.0,500.0,500.0
684,-74.003781,40.655754,684,low,1,20000.0,20000.0,20000.0
961,-73.982923,40.675166,961,low,1,95000.0,95000.0,95000.0
1211,-73.976908,40.783454,1211,low,1,30000.0,30000.0,30000.0
15572,-73.74585,40.603379,15572,low,1,0.0,0.0,0.0
6705,-73.964407,40.627282,6705,low,1,6000.0,6000.0,6000.0
778,-73.993302,40.747333,778,low,1,200.0,200.0,200.0
5933,-73.908539,40.90873,5933,low,1,10000.0,10000.0,10000.0
1089,-73.998477,40.760884,1089,low,1,70000.0,70000.0,70000.0
1068,-74.132743,40.640342,1068,low,1,12000.0,12000.0,12000.0
