t2_org_title,t5_org_title,org_content_id,t6_org_content_id,category_desc,display_url,record_count,total_amount,avg_amount,max_amount,min_amount
Street Project,Street Project,3001,3001,Strengthening Communities,/opportunities/5107,15,0.0,0.0,0,0
Catchafire,Catchafire,39853,39853,Strengthening Communities,/opportunities/5439,160,0.0,0.0,0,0
"Services for the UnderServed, Inc.","Services for the UnderServed, Inc.",38951,38951,Helping Neighbors in Need,/opportunities/5541,9,0.0,0.0,0,0
New York City Department of Parks & Recreation,New York City Department of Parks & Recreation,3706,3706,Strengthening Communities,/opportunities/5170,20,0.0,0.0,0,0
"Services for the UnderServed, Inc.","Services for the UnderServed, Inc.",38951,38951,Helping Neighbors in Need,/opportunities/5266,9,0.0,0.0,0,0
Jewish Association for Services for the Aged (JASA),Jewish Association for Services for the Aged (JASA),728,728,Health,/opportunities/5561,16,0.0,0.0,0,0
Metropolitan Council on Jewish Poverty,Metropolitan Council on Jewish Poverty,974,974,Helping Neighbors in Need,/opportunities/5475,15,0.0,0.0,0,0
NYC Service,NYC Service,3747,3747,Emergency Preparedness,/opportunities/5679,9,0.0,0.0,0,0
Friends of Van Cortlandt Park,Friends of Van Cortlandt Park,161,161,Strengthening Communities,/opportunities/5709,12,0.0,0.0,0,0
Friends of Van Cortlandt Park,Friends of Van Cortlandt Park,161,161,Strengthening Communities,/opportunities/4999,12,0.0,0.0,0,0
Catchafire,Catchafire,39853,39853,Strengthening Communities,/opportunities/5432,160,0.0,0.0,0,0
Street Project,Street Project,3001,3001,Strengthening Communities,/opportunities/5627,15,0.0,0.0,0,0
