y_coordinate_state_plane,intersection_street_2,x_coordinate_state_plane,address_type,location_type,complaint_type
257807,WEST230 STREET,1011177,ADDRESS,Street/Sidewalk,Illegal Parking
257807,WEST230 STREET,1011177,ADDRESS,Street/Sidewalk,Illegal Parking
257807,WEST230 STREET,1011177,ADDRESS,Street/Sidewalk,Illegal Parking
249903,HOBART AVENUE,1030679,ADDRESS,Street/Sidewalk,Illegal Parking
246312,FORT WASHINGTON AVENUE,1000872,ADDRESS,Street/Sidewalk,Illegal Parking
