permitissuedate,permit_count,permitstatusshortdesc,permitnumberofzones,pavementshortdesc,boroughname
2025-07-14 09:10:45,1,EXPIRED,,,BROOKLYN
2025-07-10 19:11:11,1,EXPIRED,,,BROOKLYN
2025-07-10 10:33:06,3,EXPIRED,,,BROOKLYN
2025-07-16 14:59:54,27,EXPIRED,,,BROOKLYN
2025-07-10 15:09:19,1,EXPIRED,,,BROOKLYN
2025-07-14 11:40:27,1,EXPIRED,,,BROOKLYN
2025-07-11 10:06:28,16,EXPIRED,,,BROOKLYN
2025-07-11 17:12:39,1,EXPIRED,,,BROOKLYN
2025-07-11 10:16:13,1,EXPIRED,,,BROOKLYN
2025-07-10 07:50:23,1,EXPIRED,,,BROOKLYN
2025-07-11 10:06:15,1,EXPIRED,,,BROOKLYN
2025-07-15 14:48:09,10,EXPIRED,,,BROOKLYN
2025-07-09 08:27:44,7,EXPIRED UNDER GUARANTEE,18.0,ASPHALT,BROOKLYN
2025-07-14 10:46:41,1,EXPIRED,,,BROOKLYN
2025-07-12 08:16:13,1,EXPIRED,,,QUEENS
2025-07-10 07:11:32,12,EXPIRED,,,MANHATTAN
2025-07-16 08:00:57,2,EXPIRED,,,BROOKLYN
2025-07-12 10:21:13,2,EXPIRED,,,BROOKLYN
2025-07-10 18:12:13,4,EXPIRED,,ASPHALT,BROOKLYN
2025-07-11 10:46:17,2,EXPIRED,,,BROOKLYN
2025-07-18 07:34:44,2,EXPIRED,,,MANHATTAN
2025-07-11 09:27:59,8,EXPIRED,,,BROOKLYN
2025-07-09 08:26:30,21,EXPIRED UNDER GUARANTEE,18.0,ASPHALT,BROOKLYN
2025-07-15 21:04:49,1,EXPIRED,,,BROOKLYN
2025-07-11 08:24:26,1,EXPIRED,,,BROOKLYN
2025-07-10 09:12:26,1,EXPIRED,,,BROOKLYN
2025-07-10 08:52:48,1,EXPIRED,,,BROOKLYN
2025-07-09 08:26:09,14,EXPIRED UNDER GUARANTEE,18.0,ASPHALT,BROOKLYN
2025-07-11 15:13:42,1,EXPIRED,,,BROOKLYN
2025-07-12 11:39:16,6,EXPIRED,,,BROOKLYN
2025-07-11 12:44:50,12,EXPIRED,,,BROOKLYN
2025-07-15 09:27:45,1,EXPIRED,,,BROOKLYN
2025-07-10 13:55:25,1,EXPIRED,,,BROOKLYN
2025-07-15 14:48:10,5,EXPIRED,,,BROOKLYN
2025-07-14 16:33:02,1,EXPIRED,,,BROOKLYN
2025-07-14 14:24:49,2,EXPIRED,,,BROOKLYN
2025-07-16 06:57:39,1,EXPIRED,,,MANHATTAN
2025-07-09 09:16:27,2,EXPIRED,,,BROOKLYN
2025-07-16 14:59:59,18,EXPIRED,,,BROOKLYN
2025-07-16 14:59:57,18,EXPIRED,,,BROOKLYN
2025-07-11 10:06:31,4,EXPIRED,,,BROOKLYN
2025-07-14 07:19:24,1,EXPIRED,,,MANHATTAN
2025-07-10 13:03:21,1,EXPIRED,,,BROOKLYN
2025-07-15 14:48:11,20,EXPIRED,,,BROOKLYN
2025-07-11 09:18:28,4,EXPIRED,,,BROOKLYN
2025-07-11 08:31:25,1,EXPIRED,,,BROOKLYN
2025-07-09 08:26:58,28,EXPIRED UNDER GUARANTEE,18.0,ASPHALT,BROOKLYN
2021-05-26 10:09:11,1,EXPIRED,1.0,,BROOKLYN
2025-07-14 00:33:16,1,EXPIRED,,,BROOKLYN
2025-07-11 09:58:41,6,EXPIRED,,,BROOKLYN
