code1,code1_1,seats103,college_career_rate,attendance_rate,total_grade9_ge_applicants
Q31J,Q31J,,0.675999999,0.910000026,
NO CODE,NO CODE,,0.910000026,0.970000029,
X11X,X11X,,0.647000015,0.899999976,
X06R,X06R,,0.256999999,0.75,
Q03A,Q03A,,0.257999986,0.899999976,
Y55A,Y55A,,,0.790000021,
M99A,M99A,,,0.850000024,
M05R,M05R,,0.646000028,0.899999976,
A21A,A21A,,0.836000025,0.939999998,
Q24A,Q24A,Yes-10,0.632000029,0.899999976,393.0
M64A,M64A,,,0.970000029,
Q09A,Q09A,,0.63499999,0.910000026,
M04A,M04A,,0.614000022,0.810000002,
L53A,L53A,,0.374000013,0.839999974,
X77R,X77R,,0.381000012,0.829999983,
Q30J,Q30J,,0.69599998,0.930000007,
X38A,X38A,,0.515999973,0.810000002,
Q16A,Q16A,Yes-5,0.768999994,0.930000007,3199.0
R01R,R01R,,0.910000026,0.949999988,
Y65A,Y65A,,,0.860000014,
X89A,X89A,,,0.899999976,
K04X,K04X,,0.462000012,0.910000026,
