brooklyn_cooperatives_comparable_properties_building_classification,brooklyn_cooperatives_comparable_properties_boro_block_lot,brooklyn_cooperatives_comparable_properties_market_value_per_sqft,brooklyn_cooperatives_comparable_properties_gross_sqft,brooklyn_cooperatives_comparable_properties_expense_per_sqft,total_count,total_amount
D4-ELEVATOR,3-07397-0085,53.15,70710,5.94,1,991354.0
C6-WALK-UP,3-00234-0019,77.85,16250,9.98,1,334263.0
C6-WALK-UP,3-00385-0060,89.73,8782,9.65,1,194697.0
D4-ELEVATOR,3-00235-0028,69.1,49158,8.41,1,884844.0
D4-ELEVATOR,3-03367-0056,28.61,36000,6.0,1,381960.0
D4-ELEVATOR,3-00231-0030,43.84,114445,9.14,1,1778475.0
D4-ELEVATOR,3-07559-0023,52.17,82440,5.89,1,1137672.0
D4-ELEVATOR,3-03633-0001,15.15,398223,4.74,1,2906010.0
D4-ELEVATOR,3-00254-0001,59.87,48138,8.51,1,822678.0
D4-ELEVATOR,3-01169-0024,48.02,140595,7.62,1,2048469.0
D4-ELEVATOR,3-00242-0012,91.18,38760,11.33,1,924426.0
D4-ELEVATOR,3-05657-0035,31.52,118800,6.46,1,1349568.0
C6-WALK-UP,3-00993-0031,71.35,17800,5.41,1,282105.0
D4-ELEVATOR,3-05233-0001,17.07,78600,6.58,1,784428.0
D4-ELEVATOR,3-02061-0040,33.8,187667,5.42,1,2041817.0
C6-WALK-UP,3-00733-0025,57.87,36980,7.69,1,598706.0
D4-ELEVATOR,3-06286-0043,29.75,48000,5.5,1,493440.0
D4-ELEVATOR,3-05356-0042,26.14,59600,5.84,1,597848.0
C6-WALK-UP,3-08669-0073,41.64,28480,5.45,1,341475.0
D4-ELEVATOR,3-07579-0029,30.74,295200,6.6,1,3359376.0
C6-WALK-UP,3-05257-0035,14.07,31200,4.14,1,202824.0
D4-ELEVATOR,3-07441-0231,38.67,52360,4.75,1,576484.0
D4-ELEVATOR,3-06888-0006,61.46,42840,6.35,1,655452.0
C6-WALK-UP,3-01173-0040,76.47,15000,7.14,1,266100.0
C6-WALK-UP,3-01152-0071,106.01,19564,8.6,1,452320.0
