daily_task_activity_id,row_id,daily_task_id,propid,category,count,avg_value,total_value,max_value
6350097,1580123,1580123,X148K3,Short shift,1,0.3,0.3,0.3
6348433,1579770,1579770,X008-ZN03,Medium shift,4,2.25,9.0,2.25
6357793,1581578,1581578,M012,Short shift,1,1.33,1.33,1.33
6356533,1581309,1581309,XZ346,Short shift,1,0.38,0.38,0.38
6349587,1580055,1580055,X010-ZN07,Long shift,3,7.5,22.5,7.5
6345939,1579148,1579148,Q306,Long shift,1,8.5,8.5,8.5
6350772,1580272,1580272,X034-XZ442,Short shift,4,0.64,2.56,0.64
6363639,1582759,1582759,B329,Long shift,1,4.25,4.25,4.25
6361568,1582199,1582199,B264,Short shift,1,0.05,0.05,0.05
6356492,1581304,1581304,Q066C,Short shift,1,0.48,0.48,0.48
6347494,1579576,1579576,M193,Short shift,1,0.08,0.08,0.08
6348986,1579871,1579871,X045-ZN02,Medium shift,4,2.5,10.0,2.5
6364030,1582845,1582845,B146,Short shift,1,0.57,0.57,0.57
6355499,1581125,1581125,B265,Short shift,2,0.29,0.58,0.5
6350247,1580151,1580151,B099,Short shift,1,0.12,0.12,0.12
6350299,1580188,1580188,X061,Short shift,4,0.83,3.32,0.83
6346527,1579294,1579294,B223NC,Short shift,2,0.15,0.3,0.15
6355833,1581185,1581185,X292,Short shift,8,0.35999999999999993,2.8799999999999994,0.36
6353958,1580416,1580416,Q100A,Short shift,2,0.165,0.33,0.25
6349071,1579829,1579829,M035,Short shift,2,0.13,0.26,0.13
6352750,1580655,1580655,Q104-01,Long shift,2,5.75,11.5,5.75
6356531,1581298,1581298,R027A,Short shift,1,0.25,0.25,0.25
6353785,1580789,1580789,B326,Short shift,1,0.83,0.83,0.83
6365236,1583173,1583173,B126-ZN01,Short shift,1,1.7,1.7,1.7
6364598,1582926,1582926,X010-ZN02,Short shift,4,0.82,3.28,0.82
6361804,1582213,1582213,M037-01,Short shift,1,1.0,1.0,1.0
6347045,1579431,1579431,X155,Short shift,12,0.09999999999999999,1.2,0.1
6354403,1580875,1580875,B126-ZN03,Medium shift,1,2.2,2.2,2.2
6350863,1580284,1580284,Q346,Short shift,2,0.23,0.46,0.23
6358956,1581575,1581575,Q402,Short shift,2,0.075,0.15,0.12
6885376,1699432,1699432,Q301,Short shift,1,0.25,0.25,0.25
6355668,1581134,1581134,B255H,Medium shift,1,2.13,2.13,2.13
6347387,1579545,1579545,B329-01,Long shift,1,4.25,4.25,4.25
6362490,1582276,1582276,M056-ZN05,Short shift,1,0.83,0.83,0.83
6348409,1579763,1579763,M105-08,Short shift,1,1.5,1.5,1.5
6363131,1582544,1582544,Q333,Short shift,1,0.07,0.07,0.07
6355797,1579419,1579419,B087,Short shift,1,0.33,0.33,0.33
6350290,1579934,1579934,X035,Short shift,1,0.25,0.25,0.25
6355760,1581156,1581156,X092-ZN12,Short shift,2,0.42,0.84,0.42
6360909,1582131,1582131,M200,Short shift,1,1.58,1.58,1.58
6359415,1581757,1581757,R160,Short shift,1,0.33,0.33,0.33
6355191,1581088,1581088,Q055,Medium shift,1,2.83,2.83,2.83
6356164,1580942,1580942,Q471,Short shift,2,0.105,0.21,0.18
6348448,1579655,1579655,B159,Short shift,1,0.12,0.12,0.12
6359819,1581737,1581737,X150J,Short shift,2,0.33,0.66,0.33
6356039,1581252,1581252,X286,Short shift,4,0.08,0.32,0.08
6357745,1581572,1581572,Q015-ZN09,Short shift,1,0.42,0.42,0.42
