objectid,omppropid,omppropid_1,objectid_1,acres,total_acquisition_value
6341,B431,B431,6341,21.377,20010511000000.0
4593,B385,B385,4593,6.611,19901026000000.0
6160,Q100A,Q100A,6160,0.658,18751005000000.0
6290,X142,X142,6290,144.29,19420409000000.0
5403,B297,B297,5403,0.538,19590213000000.0
4850,B261,B261,4850,0.847,19530625000000.0
4731,X299,X299,4731,0.549,19990712000000.0
4785,X331,X331,4785,0.15,20021120000000.0
4622,B223R,B223R,4622,0.752,19490310000000.0
4838,B111A,B111A,4838,1.549,19480617000000.0
5013,M361,M361,5013,0.15,20021120000000.0
66000,Q512,Q512,66000,0.1,20021120000000.0
5180,B324,B324,5180,2.984,19610824000000.0
4652,M122,M122,4652,0.135,19610323000000.0
6215,B058,B058,6215,36.493,19030309000000.0
5353,Q400,Q400,5353,1.166,19590514000000.0
4743,M059,M059,4743,1.275,19030325000000.0
5851,M212,M212,5851,0.117,19520320000000.0
6611,X154,X154,6611,1.001,19511126000000.0
6637,R132,R132,6637,36.691,19941230000000.0
4769,X296,X296,4769,0.494,19980511000000.0
5809,B223IB,B223IB,5809,0.489,19470729000000.0
5657,X148F4,X148F4,5657,0.759,19590226000000.0
6371,Q262,Q262,6371,0.553,
5469,B278,B278,5469,0.011,
5567,M033,M033,5567,4.3,18970622000000.0
4807,X096,X096,4807,0.12,19240419000000.0
6146,B223DB,B223DB,6146,0.026,19470514000000.0
6443,B371,B371,6443,42.583,20090128000000.0
4831,M103,M103,4831,0.208,19380101000000.0
69236,Q096,Q096,69236,202.647,19400629000000.0
5628,X064,X064,5628,0.17,18930115000000.0
6326,M042,M042,6326,196.398,19150521000000.0
4710,M069,M069,4710,0.635,19291204000000.0
5414,X141,X141,5414,1.23,19411127000000.0
5305,B533,B533,5305,0.249,20071101000000.0
13487,M406,M406,13487,0.068,20160209000000.0
4650,M130,M130,4650,0.17,19151001000000.0
5001,M344,M344,5001,0.11,20021120000000.0
6568,B367,B367,6568,0.918,
5246,B443,B443,5246,0.068,20021120000000.0
5569,Q464,Q464,5569,19.556,19920922000000.0
69247,R088,R088,69247,94.1,19650524000000.0
4987,M323,M323,4987,0.186,20021120000000.0
21498,B582,B582,21498,0.058,20020220000000.0
5877,Q066H,Q066H,5877,1.226,19370507000000.0
5446,Q340,Q340,5446,2.027,19510719000000.0
5783,B202,B202,5783,0.02,
6645,B246,B246,6645,0.694,19500323000000.0
5498,B245,B245,5498,9.339,19500315000000.0
