programname,total_zipcode_sum
GODDARD RIVERSIDE OAC AT WEST 88TH STREET (C36),10024.0
BERGEN BASIN MIDWOOD OLDER ADULT CENTER (C08),11234.0
JASA QUEENS HOME DELIVERED MEALS (46G),70146.0
JASA SENIOR ALLIANCE OLDER ADULT CENTER (C83),22470.0
CASABE SENIOR HOUSES AKA EAST HARLEM NSC (C30),10035.0
POLO GROUNDS SATELLITE (MN10) (C26),10039.0
GREENWICH HOUSE GMH MN 1-8 (6G8),10001.0
BETANCES (W16),10454.0
MIDDLE VILLAGE ADULT CENTER (4AT),22758.0
RISEBORO - CMA - BK01 03 04 (2MP),22442.0
LIFELONG LEARNING CENTER @ ENCORE WEST (W14),10019.0
EAST SIDE HOUSE INC. (11V),20908.0
WAYSIDE OUT TILDEN SENIOR CENTER (C90),11212.0
JASA BROOKLYN HOME DELIVERED MEALS (29E),67434.0
CCNS SEASIDE OAC (C17),11693.0
COPO (2TT),11230.0
ENCORE HOME DELIVERED MEALS (36G),10019.0
HMH – CITYWIDE (6K1),10038.0
ALBANY OAC (C35),11213.0
CPC NY CHINATOWN NEIGHBORHOOD SENIOR CENTER (C21),10002.0
OCEAN BAY CDC OLDER ADULT CENTER (C53),11693.0
NYFSC MOTT STREET OLDER ADULT CENTER (C51),10012.0
EAST SIDE HOUSE - HDM - BX1-6 (11S),20908.0
