street_name,total_tanks_inspected_per_street
Washington Square West,1.0
WEST 111 STREET,1.0
WEST END AVENUE,3.0
West 119th Street,2.0
East 68th st,2.0
Malcolm X BLVD,1.0
East 71st St,1.0
EAST 85 STREET,1.0
Mitchell Place,1.0
Lexington Avenue,4.0
5th Avenue,14.0
MADISON AVENUE,3.0
Broadway,5.0
Metrotech,1.0
Willoughby Street,4.0
EAST   75 STREET,1.0
LEXINGTON AVE,16.0
Eighth Avenue,1.0
West 43rd Street,3.0
East 34th Street,1.0
West 30 Street,1.0
EAST 61 STREET,1.0
WEST   30 STREET,1.0
West 20 Street,2.0
Claremont Avenue,4.0
West End Avenue,27.0
EAST   67 STREET,2.0
Adams Street,4.0
River Terrace,2.0
62 AVENUE,1.0
WEST   72 STREET,2.0
6th Street,2.0
Park Avenue,20.0
Beekman Street,1.0
East 86th Street,2.0
WEST 78 STREET,1.0
Fifth Avenue,3.0
Olinville Avenue,1.0
Centre Street,1.0
FORT WASHINGTON AVE,1.0
Church Street,1.0
WEST 70 STREET,2.0
WEST 40 STREET,2.0
East 21st Street,2.0
East 84th Street,1.0
5TH AVENUE,3.0
