nta,queens_cooperatives_comparable_properties_building_classification,total,average,count
Rego Park                                                                  ,D4-ELEVATOR,28.0,14.0,2
Briarwood-Jamaica Hills                                                    ,D4-ELEVATOR,13.7,13.7,1
Jackson Heights                                                            ,D4-ELEVATOR,11.0,11.0,1
Ft. Totten-Bay Terrace-Clearview                                           ,C6-WALK-UP,14.52,14.52,1
Murray Hill                                                                ,C6-WALK-UP,13.08,13.08,1
Douglas Manor-Douglaston-Little Neck                                       ,D4-ELEVATOR,11.75,11.75,1
Lindenwood-Howard Beach                                                    ,C6-WALK-UP,7.7,7.7,1
Flushing                                                                   ,D4-ELEVATOR,36.35,12.116666666666667,3
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,D4-ELEVATOR,14.04,14.04,1
Lindenwood-Howard Beach                                                    ,D4-ELEVATOR,11.82,11.82,1
Jamaica                                                                    ,D4-ELEVATOR,11.8,11.8,1
Whitestone                                                                 ,D4-ELEVATOR,11.5,11.5,1
Astoria                                                                    ,D4-ELEVATOR,12.64,12.64,1
Ft. Totten-Bay Terrace-Clearview                                           ,D4-ELEVATOR,14.57,14.57,1
Hunters Point-Sunnyside-West Maspeth                                       ,D4-ELEVATOR,31.0,15.5,2
Glen Oaks-Floral Park-New Hyde Park                                        ,C6-WALK-UP,12.0,12.0,1
North Corona                                                               ,D4-ELEVATOR,13.3,13.3,1
Forest Hills                                                               ,D4-ELEVATOR,88.45,14.741666666666667,6
Elmhurst                                                                   ,D4-ELEVATOR,12.6,12.6,1
Murray Hill                                                                ,D4-ELEVATOR,13.5,13.5,1
Douglas Manor-Douglaston-Little Neck                                       ,C6-WALK-UP,12.0,12.0,1
Kew Gardens                                                                ,D4-ELEVATOR,11.0,11.0,1
Corona                                                                     ,D4-ELEVATOR,12.75,12.75,1
