queens_cooperatives_comparable_properties_neighborhood,total_market_value_per_sqft
CORONA,98.0
JAMAICA,41.6
ASTORIA,47.5
ELMHURST,47.3
BRIARWOOD,54.0
LITTLE NECK,42.3
ROCKAWAY PARK,56.0
FLUSHING-NORTH,234.2
FLORAL PARK,42.4
BAYSIDE,116.0
FOREST HILLS,289.8
SUNNYSIDE,125.0
JACKSON HEIGHTS,38.7
MIDDLE VILLAGE,111.0
KEW GARDENS,38.8
DOUGLASTON,41.4
BEECHHURST,40.5
REGO PARK,63.0
HOWARD BEACH,65.32000000000001
