progcount,program_highlights,school_type2,grade_span_2014_2015_min,alphabetic_name_long,se_services,advanced_placement_courses,last_year_bus
6,"Scholars Institute: Honors Courses; Advancement Via Individual Determination (AVID), Project Lead The Way, Work-based Learning, State & Industry Certifications, McKee Advertising Design Enterprise (MADE); Italian, Art, Precalculus, Calculus, College Now, After-school Tutoring",CTE School,9.0,Ralph R. McKee Career and Technical Education High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Biology, English Language and Composition",
1,"CTE Program Sequences in Building Operations and Technology; Advisory, Cooperative Learning Groups, Project-based Learning, Work-based Internship Opportunities, College Trips, College Prep Counseling, Career Counseling. As we expand, we plan to offer Online AP courses in Calculus AB, Calculus BC, World History, United States History, Environmental Science, and English Literature",CTE School,9.0,High School for Energy and Technology,This school will provide students with disabilities the supports and services indicated on their IEPs,,
1,"Application Programming & Game Design: A three-year sequence in learning the newest technology in gaming design; Courses in Java, Graphic design, C ++ and Objective-C (computer languages that are more widely used in iPhone platforms and game design programming); A three-year sequence in web designing: Web Design (Dreamweaver, Front Page, Photoshop). Students take Dreamweaver application, web page design, web page authoring and other supporting technologies and at the end of the sequence. Students can earn Adobe certifications in Flash and Dreamweaver Microsoft Office Specialists (MOS).",CTE School,9.0,Academy of Innovative Technology,This school will provide students with disabilities the supports and services indicated on their IEPs.,"English Literature and Composition, United States History",
1,"Small academic classes that incorporate English and Native Languages, Internship, Advisory, College Now, Drama, Studio Art, College Summit, Senior Mentoring",International School,9.0,International Community High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,,
8,"Computer Science Institute, Medical & Health Professions, Academy of Finance (NAF), FIRST Robotics, Pre-Engineering, Bilingual Chinese, Marine Science, Space Science Academy, HTML Web Design, Computer Graphic Design, Fashion Design, Performing Arts & Dance, Photography, Computer Graphics & Visual Arts, Ceramics, College Now, Culinary ACE Cafe, Saturday & After-school English Language Learners (ELL) Academy",,9.0,John Dewey High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Chinese Language and Culture, Computer Science A, Economics: Macro, Economics: Micro, English Language and Composition, English Literature and Composition, European History, Government and Politics: United States, Physics B, Psychology, Spanish Language, Statistics, United States History, World History",
8,"Academic Honors Academy, Medical & Health Careers, Business and Technology, Academy of Hospitality and Tourism, Academy of Legal Studies, Small Business Operations, College Now",,9.0,New Utrecht High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Art History, Biology, Calculus AB, Calculus BC, Chemistry, Economics: Macro, Economics: Micro, English Language and Composition, Human Geography, Physics B, United States History, World History",
7,"Pre-Engineering, Law and Legal Studies/Law Enforcement Academy, Computer Technology, Culinary Arts, Multimedia Communication, Air Force Junior Reserve Officers' Training Corps (AFJROTC), Summer Internship, Sports and Arts, GEAR UP, Four-year program allowing students to graduate with a high school diploma as well as an Associate degree from Mercy College.",,9.0,Harry S Truman High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,"Biology, Calculus AB, Calculus BC, English Literature and Composition, Spanish Language, Statistics, United States History",
1,"CollegeBound Initiative, Accelerated Classes, Music, Art, Performing Arts, Drama, College Now",All-Girls School,6.0,"Young Women's Leadership School, Queens, The",This school will provide students with disabilities the supports and services indicated on their IEPs.,"Biology, Calculus AB, English Literature and Composition, Spanish Literature",
1,"Associate's degree - Up to two years of college coursework in engineering, College classes as early as 10th grade, Internships and apprenticeships, Off-site technical training, Mentor program, College and career trips, Small-group “learning labs,” Daily Advisory groups, Town Hall meetings, Student e-portfolios, Opportunities for collaborative and problem-based learning. Language Classes: As we expand, we plan to offer Spanish and Spanish Native Language Arts.","CTE, New School",9.0,Energy Tech High School,This school will provide students with disabilities the supports and services indicated on their IEPs.,,
