bin__,job_status,latest_action_date,category,count,avg_value,total_value,max_value
1089782,D,07/28/2017 00:00:00,medium,1,397.5,397.5,397.5
1030741,R,10/12/2017 00:00:00,medium,2,120.0,240.0,120.0
4223565,D,10/05/2017 00:00:00,low,4,100.0,400.0,100.0
1016123,R,09/22/2017 00:00:00,low,1,100.0,100.0,100.0
1088870,R,10/03/2017 00:00:00,low,12,100.0,1200.0,100.0
4449970,R,09/06/2017 00:00:00,medium,1,181.2,181.2,181.2
5162340,R,08/17/2017 00:00:00,medium,2,170.9,341.8,170.9
1081009,R,08/29/2017 00:00:00,medium,3,232.69999999999996,698.0999999999999,232.7
1085682,J,10/11/2017 00:00:00,medium,2,150.3,300.6,150.3
4208831,R,09/12/2017 00:00:00,low,8,100.0,800.0,100.0
1090374,R,09/06/2017 00:00:00,low,1,100.0,100.0,100.0
1035335,R,09/19/2017 00:00:00,low,1,100.0,100.0,100.0
1088870,R,10/04/2017 00:00:00,low,24,100.0,2400.0,100.0
1085682,J,08/29/2017 00:00:00,medium,2,150.3,300.6,150.3
4111794,D,08/15/2017 00:00:00,low,2,100.0,200.0,100.0
4146186,D,09/14/2017 00:00:00,low,9,100.0,900.0,100.0
1032645,R,08/31/2017 00:00:00,low,3,100.0,300.0,100.0
1087745,D,10/11/2017 00:00:00,medium,1,160.6,160.6,160.6
1087616,R,10/11/2017 00:00:00,low,1,100.0,100.0,100.0
2057273,D,08/24/2017 00:00:00,low,9,100.0,900.0,100.0
1088841,R,08/29/2017 00:00:00,medium,3,140.0,420.0,140.0
4223565,D,08/25/2017 00:00:00,low,4,100.0,400.0,100.0
1085682,J,08/03/2017 00:00:00,medium,2,150.3,300.6,150.3
4111794,D,08/25/2017 00:00:00,low,4,100.0,400.0,100.0
4146186,D,08/15/2017 00:00:00,low,3,100.0,300.0,100.0
2057273,D,10/05/2017 00:00:00,low,6,100.0,600.0,100.0
4116510,R,08/28/2017 00:00:00,medium,1,150.3,150.3,150.3
1081009,R,10/11/2017 00:00:00,medium,3,232.69999999999996,698.0999999999999,232.7
2057273,D,08/15/2017 00:00:00,low,3,100.0,300.0,100.0
1057837,D,08/02/2017 00:00:00,low,1,100.0,100.0,100.0
4238738,D,09/28/2017 00:00:00,medium,1,150.3,150.3,150.3
4223565,D,08/24/2017 00:00:00,low,6,100.0,600.0,100.0
4111794,D,09/08/2017 00:00:00,low,2,100.0,200.0,100.0
1081009,R,08/03/2017 00:00:00,medium,3,232.69999999999996,698.0999999999999,232.7
1088841,R,08/03/2017 00:00:00,medium,3,140.0,420.0,140.0
4223565,D,09/14/2017 00:00:00,low,6,100.0,600.0,100.0
4223565,D,09/08/2017 00:00:00,low,2,100.0,200.0,100.0
3424339,P,08/01/2017 00:00:00,low,1,100.0,100.0,100.0
4169382,J,10/03/2017 00:00:00,medium,2,120.0,240.0,120.0
3078952,P,09/28/2017 00:00:00,medium,1,201.8,201.8,201.8
1022646,R,10/06/2017 00:00:00,medium,2,120.0,240.0,120.0
3247095,H,09/01/2017 00:00:00,low,1,100.0,100.0,100.0
2057273,D,08/25/2017 00:00:00,low,6,100.0,600.0,100.0
4208831,R,10/04/2017 00:00:00,low,4,100.0,400.0,100.0
4077915,R,10/10/2017 00:00:00,medium,1,160.6,160.6,160.6
1089941,P,10/06/2017 00:00:00,medium,1,160.6,160.6,160.6
4184263,R,08/16/2017 00:00:00,medium,1,150.3,150.3,150.3
3088276,R,09/11/2017 00:00:00,medium,1,120.0,120.0,120.0
4113289,R,08/17/2017 00:00:00,low,4,100.0,400.0,100.0
2057273,D,09/14/2017 00:00:00,low,9,100.0,900.0,100.0
3414141,R,10/11/2017 00:00:00,low,8,100.0,800.0,100.0
3088276,R,09/14/2017 00:00:00,medium,2,120.0,240.0,120.0
3327490,R,09/26/2017 00:00:00,low,1,100.0,100.0,100.0
4448939,R,10/10/2017 00:00:00,medium,4,552.0,2208.0,552.0
3128805,R,10/11/2017 00:00:00,low,10,100.0,1000.0,100.0
4111794,D,09/14/2017 00:00:00,low,6,100.0,600.0,100.0
4111794,D,08/24/2017 00:00:00,low,6,100.0,600.0,100.0
4146186,D,09/08/2017 00:00:00,low,3,100.0,300.0,100.0
4440113,R,10/03/2017 00:00:00,low,1,100.0,100.0,100.0
4238738,R,09/28/2017 00:00:00,medium,1,150.3,150.3,150.3
5150289,R,09/25/2017 00:00:00,medium,1,150.3,150.3,150.3
2057273,D,08/16/2017 00:00:00,low,6,100.0,600.0,100.0
1007605,R,08/18/2017 00:00:00,low,2,100.0,200.0,100.0
4146186,D,08/16/2017 00:00:00,low,6,100.0,600.0,100.0
4146186,D,08/24/2017 00:00:00,low,9,100.0,900.0,100.0
1013686,P,09/20/2017 00:00:00,medium,2,479.9,959.8,479.9
4437222,R,09/19/2017 00:00:00,low,3,100.0,300.0,100.0
4114132,R,08/18/2017 00:00:00,medium,1,160.6,160.6,160.6
5155571,R,08/30/2017 00:00:00,low,6,100.0,600.0,100.0
1035053,P,07/28/2017 00:00:00,low,6,100.0,600.0,100.0
4223565,D,08/16/2017 00:00:00,low,4,100.0,400.0,100.0
4223565,D,08/15/2017 00:00:00,low,2,100.0,200.0,100.0
5164798,P,08/25/2017 00:00:00,medium,1,263.6,263.6,263.6
1057837,R,08/02/2017 00:00:00,low,1,100.0,100.0,100.0
3424727,D,09/20/2017 00:00:00,low,2,100.0,200.0,100.0
1088870,R,09/12/2017 00:00:00,low,48,100.0,4800.0,100.0
4433427,P,09/15/2017 00:00:00,low,1,100.0,100.0,100.0
4146186,D,10/05/2017 00:00:00,low,6,100.0,600.0,100.0
1015266,R,08/03/2017 00:00:00,medium,2,150.3,300.6,150.3
2057273,D,09/08/2017 00:00:00,low,3,100.0,300.0,100.0
1088841,R,10/11/2017 00:00:00,medium,3,140.0,420.0,140.0
4111794,D,10/05/2017 00:00:00,low,4,100.0,400.0,100.0
4111794,D,08/16/2017 00:00:00,low,4,100.0,400.0,100.0
4146186,D,08/25/2017 00:00:00,low,6,100.0,600.0,100.0
4208831,R,10/03/2017 00:00:00,low,2,100.0,200.0,100.0
1088760,D,08/18/2017 00:00:00,medium,4,232.7,930.8,232.7
3088276,R,09/22/2017 00:00:00,medium,2,120.0,240.0,120.0
