tracking_number,job_filing_number,bin,job_description,record_count,total_amount,avg_amount,max_amount,min_amount
511041202,S00490341-I1,5130986,"Construction fence at A-3, A-4 and A-5 sites for DSNY New Buildings.",8,8000.0,1000.0,1000.0,1000.0
211210486,B00485579-I1,3006960,HORIZONTAL ENLARGEMENT TO EXISTING 3 STORY BUILDING. BUILDING REMAINS  TWO FAMILY DWELLING.  IN CONJUNCTION WITH  ALT-1 (NO WORK)  # 321756293,108,37800000.0,350000.0,350000.0,350000.0
398868854,B01109630-I1,3062080,"INSTALLATION OF 300PSF SIDEWALK SHED, CONSTRUCTION FENCE, OVERHEAD PROTECTION, ROOF PROTECTION, AND PIPE SCAFFOLDING AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH THE CHAPTER #33 OF THE NYC CODE 2022, NO CHANGES IN EGRESS OR OCCUPANCY.",16,80000.0,5000.0,5000.0,5000.0
613190852,S01170084-I1,5176965,PROPOSED DETACHED TWO-FAMILY DWELLING WITH ACCESSORY OPEN OFF-STREET PARKING FOR TWO CARS.,9,0.0,0.0,0.0,0.0
133491062,S01239048-I1,5177153,PROPOSED DETACHED ONE CAR GARAGE.,6,0.0,0.0,0.0,0.0
332417326,X00868217-I1,2005093,"INSTALLATION OF 300 PSF SIDEWALK SHED AND PIPE SCAFFOLDING AS PER PLANS. ALL EQUIPMENT SHALL COMPLY WITH CHAPTER #33 OF THE 2022 CODE. NO CHANGE IN USE, EGRESS OR OCCUPANCY UNDER THIS APPLICATION.",54,270000.0,5000.0,5000.0,5000.0
