job_number,total_estimated_cost
M00338935,400000.0
S00336735,22750.0
B00147251,72000.0
M00236356,3250.0
X00078681,11625.0
M00871400,7500.0
M00419982,85000.0
M00243228,20000.0
M00316853,37600.0
M01215333,247320.0
M00166408,30000.0
B00850861,513000.0
X00319354,220000.0
Q00774126,96000.0
B00244888,9000.0
Q00259911,10000.0
M00908898,750000.0
B00323914,10000.0
M00324727,16500.0
Q00525110,20000.0
M00106968,5850.0
B00501807,7000.0
M00157068,165400.0
B00229594,7000.0
M00547319,11860.0
M08050107,10000.0
Q00462228,147756.0
M00127101,180000.0
Q00066626,142140.0
M00797302,7535.8
B00376773,10000.0
M01250318,22000.0
S00518084,14440.0
B00532012,853000.0
X00852654,9923.0
M00513706,88000.0
B01184063,2100000.0
M00269656,3500.0
M00248017,13348.0
M00187497,400000.0
M00134815,1073750.0
X00805379,11500.0
M00273794,1700000.0
M00546215,34300.0
M00023163,225000.0
M00288961,20000.0
B00595356,239000.0
Q00325220,14000.0
S00169784,30000.0
M00294915,26953.0
