chgdt,str_name,hnum_lo,total_count,total_amount
2011-01-03,RECTOR PLACE,377.0,19,443934.0
2011-01-03,WATER STREET,1.0,4,2862483.0
2011-01-03,LITTLE WEST STREET,20.0,19,224003.0
2011-01-06,BATTERY PLACE,70.0,2,40500.0
2011-01-03,RECTOR PLACE,380.0,1,16217.0
2011-01-03,MONROE STREET,31.0,1,14583.0
