school_name,total_college_career_rate,school_name_1,fax_number,fax_number_1
High School of Sports Management,0.45,High School of Sports Management,718-333-7675,718-333-7675
High School of Arts and Technology,0.44,High School of Arts and Technology,917-441-3693,917-441-3693
The Urban Assembly School for Emergency Management,0.71,The Urban Assembly School for Emergency Management,212-225-0996,212-225-0996
Epic High School - North,,Epic High School - North,718-570-8231,718-570-8231
Theatre Arts Production Company School,0.55,Theatre Arts Production Company School,718-584-5102,718-584-5102
The Clinton School,,The Clinton School,212-524-4365,212-524-4365
Bronx Aerospace High School,0.47,Bronx Aerospace High School,718-696-6030,718-696-6030
Wings Academy,0.35,Wings Academy,718-931-8366,718-931-8366
Curtis High School,0.6,Curtis High School,718-556-4800,718-556-4800
Bronx Studio School for Writers and Artists,0.57,Bronx Studio School for Writers and Artists,718-893-5982,718-893-5982
Hillside Arts & Letters Academy,0.63,Hillside Arts & Letters Academy,718-658-1613,718-658-1613
Belmont Preparatory High School,0.8,Belmont Preparatory High School,718-295-3655,718-295-3655
The Cinema School,0.78,The Cinema School,718-620-2561,718-620-2561
Comprehensive Model School Project M.S. 327,0.74,Comprehensive Model School Project M.S. 327,718-294-8109,718-294-8109
Khalil Gibran International Academy,0.48,Khalil Gibran International Academy,718-488-1724,718-488-1724
Metropolitan Diploma Plus High School,,Metropolitan Diploma Plus High School,718-342-6329,718-342-6329
The Bronxwood Preparatory Academy,0.44,The Bronxwood Preparatory Academy,718-696-3821,718-696-3821
Transit Tech Career and Technical Education High School,0.41,Transit Tech Career and Technical Education High School,718-647-4458,718-647-4458
Martin Van Buren High School,0.45,Martin Van Buren High School,718-217-6287,718-217-6287
Francis Lewis High School,0.82,Francis Lewis High School,718-746-2017,718-746-2017
Crotona International High School,0.36,Crotona International High School,718-561-8707,718-561-8707
