fact_column,total_dimension1,average_dimension2,phone_number,phone_number_1,avg_college_career_rate
Computer Forensic Science and Technology,0.77,0.84,718-647-5204,718-647-5204,0.45
Cambria Heights Academy,0.87,0.86,718-736-7320,718-736-7320,0.75
Instrumental Music for New Students,0.79,0.87,718-266-5032,718-266-5032,0.65
Frederick Douglass Academy VII High School,0.85,0.82,718-485-3789,718-485-3789,0.37
Law Enforcement and Public Safety,0.64,0.89,718-977-4800,718-977-4800,0.63
High School for Excellence and Innovation,0.97,0.68,212-569-1022,212-569-1022,
The Urban Assembly School for Green Careers,0.92,0.84,212-787-1189,212-787-1189,0.43
Musical Theater,0.91,0.93,212-737-1530,212-737-1530,0.75
Longwood Preparatory Academy,0.88,0.8,718-860-1242,718-860-1242,0.29
Hillside Arts & Letters Academy,0.92,0.85,718-658-1249,718-658-1249,0.53
Brooklyn Preparatory High School,0.8,0.86,718-486-2550,718-486-2550,0.69
FDNY-Captain Vernon A. Richard High School for Fire and Life Safety,0.77,0.8,718-688-7930,718-688-7930,0.32
Multimedia Internet Technology,0.79,0.88,718-625-6130,718-625-6130,0.39
Hudson High School of Learning Technologies,0.83,0.79,212-488-3330,212-488-3330,0.54
Gotham Professional Arts Academy,0.76,0.78,718-455-0746,718-455-0746,0.5
Brooklyn Latin,4.45,0.9559999999999998,718-366-0154,718-366-0154,0.85
Energy Tech High School,0.85,0.94,718-472-0536,718-472-0536,
Zoned,0.92,0.92,718-286-3600,718-286-3600,0.71
College Head-Start,0.82,0.9,718-969-5510,718-969-5510,0.67
The Metropolitan Soundview High School,0.77,0.79,718-860-8240,718-860-8240,0.53
Economics and Finance,0.83,0.88,212-346-0708,212-346-0708,0.82
