prevailing_wage_status,project_name,total,average,count
Non Prevailing Wage,2040 MCGRAW AVE APARTMENTS,24.0,24.0,1
Non Prevailing Wage,MORNINGSIDE HEIGHTS III. HPO.FY25,58.0,14.5,4
Non Prevailing Wage,37-42 30TH STREET,63.0,63.0,1
Non Prevailing Wage,CLAREMONT PARK APARTMENTS.YR15.FY25,98.0,98.0,1
Non Prevailing Wage,UPS. 1806 ANTHONY AVE,111.0,111.0,1
Non Prevailing Wage,633 EAST 230 STREET,25.0,25.0,1
Non Prevailing Wage,NORTH SHORE PLAZA.YR15.FY25,1524.0,21.166666666666668,72
Non Prevailing Wage,180 PENNSYLVANIA AVE APARTMENTS,50.0,50.0,1
Non Prevailing Wage,WEST FARMS.HUDMF.FY25,276.0,138.0,2
Non Prevailing Wage,256 MT HOPE PLACE_HPS,42.0,42.0,1
Non Prevailing Wage,THE TRIO APARTMENTS,34.0,34.0,1
Non Prevailing Wage,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),36.0,6.0,6
Non Prevailing Wage,130 EAST 165TH STREET APARTMENTS,75.0,75.0,1
Non Prevailing Wage,B&R.YR15.FY25,17.0,5.666666666666667,3
Non Prevailing Wage,153 EAST 51 STREET,9.0,9.0,1
Non Prevailing Wage,SALEM HOUSE.YR15.FY25,48.0,48.0,1
Non Prevailing Wage,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8.0,8.0,1
Non Prevailing Wage,1644 NEW YORK AVENUE,36.0,36.0,1
Non Prevailing Wage,2769 CRESTON AVENUE,44.0,44.0,1
Non Prevailing Wage,23-10 42ND ROAD APARTMENTS,240.0,240.0,1
Non Prevailing Wage,CROTONA PARK WEST HDFC.HPO.FY24,179.0,25.571428571428573,7
Non Prevailing Wage,MASARYK TOWERS.HRP.FY25,219.0,219.0,1
Non Prevailing Wage,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,16.0,8.0,2
Non Prevailing Wage,EASTCHESTER HEIGHTS HDFC.HPO.FY25,2952.0,10.933333333333334,270
Non Prevailing Wage,131 CONCORD STREET APARTMENTS,73.0,73.0,1
Non Prevailing Wage,1305 SHAKESPEARE AVENUE,8.0,8.0,1
Non Prevailing Wage,NEW PENN DEVELOPMENT,12.0,4.0,3
Non Prevailing Wage,JERICHO HOUSE,56.0,56.0,1
Non Prevailing Wage,22-25 NEW HAVEN AVENUE APARTMENTS,26.0,26.0,1
Non Prevailing Wage,21-07 ASTORIA BLVD APARTMENTS,68.0,68.0,1
Non Prevailing Wage,TIMPSON PLACE HDFC.GHPP.FY25,64.0,32.0,2
