pct_stu_safe,attendance_rate,prgdesc8,total,average,count
0.89,0.95,,,,1
0.79,0.87,,77.0,77.0,1
0.79,0.88,,181.0,181.0,1
0.83,0.79,,263.0,263.0,1
0.82,0.9,,94.0,94.0,1
0.89,0.96,,,,1
0.77,0.8,,126.0,126.0,1
0.64,0.89,,130.0,130.0,1
0.8,0.86,,225.0,225.0,1
0.91,0.93,,32.0,32.0,1
0.92,0.92,,,,1
0.92,0.84,,71.0,71.0,1
0.97,0.68,,20.0,20.0,1
0.92,0.85,,156.0,156.0,1
0.77,0.79,,131.0,131.0,1
0.85,0.82,,69.0,69.0,1
0.89,0.97,,,,2
0.88,0.8,,105.0,105.0,1
0.87,0.86,,114.0,114.0,1
0.85,0.94,,227.0,227.0,1
0.77,0.84,,112.0,112.0,1
0.83,0.88,,234.0,234.0,1
0.76,0.78,,73.0,73.0,1
0.89,0.93,,,,1
