prevailing_wage_status,other_income_units,_2_br_units,project_name,total_units,middle_income_units,building_completion_date
Non Prevailing Wage,,1.0,1305 SHAKESPEARE AVENUE,8,7.0,
Non Prevailing Wage,,11.0,21-07 ASTORIA BLVD APARTMENTS,68,21.0,
Non Prevailing Wage,,8.0,22-25 NEW HAVEN AVENUE APARTMENTS,26,25.0,
Non Prevailing Wage,,,JERICHO HOUSE,56,,
Non Prevailing Wage,,2.0,NEW PENN DEVELOPMENT,4,,
Non Prevailing Wage,,2.0,NEW PENN DEVELOPMENT,4,,
Non Prevailing Wage,,2.0,NEW PENN DEVELOPMENT,4,,
Non Prevailing Wage,,26.0,TIMPSON PLACE HDFC.GHPP.FY25,42,,
Non Prevailing Wage,,26.0,TIMPSON PLACE HDFC.GHPP.FY25,22,,
Non Prevailing Wage,,48.0,180 PENNSYLVANIA AVE APARTMENTS,50,50.0,
Non Prevailing Wage,,,256 MT HOPE PLACE_HPS,42,41.0,
Non Prevailing Wage,,13.0,633 EAST 230 STREET,25,14.0,2025-04-17
Non Prevailing Wage,,48.0,NORTH SHORE PLAZA.YR15.FY25,1,,
Non Prevailing Wage,,,NORTH SHORE PLAZA.YR15.FY25,1,,
Non Prevailing Wage,,,NORTH SHORE PLAZA.YR15.FY25,1,,
Non Prevailing Wage,,48.0,NORTH SHORE PLAZA.YR15.FY25,1,,
Non Prevailing Wage,,,NORTH SHORE PLAZA.YR15.FY25,122,,
Non Prevailing Wage,,95.0,WEST FARMS.HUDMF.FY25,107,,2024-09-19
Non Prevailing Wage,,95.0,WEST FARMS.HUDMF.FY25,169,,2024-09-19
Non Prevailing Wage,,4.0,MORNINGSIDE HEIGHTS III. HPO.FY25,10,5.0,
Non Prevailing Wage,,4.0,MORNINGSIDE HEIGHTS III. HPO.FY25,19,3.0,
Non Prevailing Wage,,,MORNINGSIDE HEIGHTS III. HPO.FY25,10,5.0,
Non Prevailing Wage,,,MORNINGSIDE HEIGHTS III. HPO.FY25,19,3.0,
Non Prevailing Wage,,2.0,SOUTH BUSHWICK NEIGHBORHOOD HOMES (SBNH),8,,
Non Prevailing Wage,,11.0,131 CONCORD STREET APARTMENTS,73,22.0,2025-03-12
Non Prevailing Wage,,8.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,8,,
Non Prevailing Wage,,4.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,8,,
Non Prevailing Wage,,4.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,8,,
Non Prevailing Wage,,4.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,8,,
Non Prevailing Wage,,8.0,EASTCHESTER HEIGHTS HDFC.HPO.FY25,8,,
Non Prevailing Wage,,4.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,5,,2025-06-27
Non Prevailing Wage,,4.0,GRAND & ROGERS CLUSTER (INCREASE).MPLP.FY25,11,,2025-06-27
Non Prevailing Wage,,3.0,1644 NEW YORK AVENUE,36,11.0,
Non Prevailing Wage,,,2769 CRESTON AVENUE,44,43.0,
Non Prevailing Wage,,13.0,23-10 42ND ROAD APARTMENTS,240,72.0,
Non Prevailing Wage,,36.0,CROTONA PARK WEST HDFC.HPO.FY24,46,,2024-06-28
Non Prevailing Wage,,36.0,CROTONA PARK WEST HDFC.HPO.FY24,20,,2024-06-28
Non Prevailing Wage,,36.0,CROTONA PARK WEST HDFC.HPO.FY24,15,,2024-06-28
Non Prevailing Wage,,36.0,CROTONA PARK WEST HDFC.HPO.FY24,15,,2024-06-28
Non Prevailing Wage,,36.0,CROTONA PARK WEST HDFC.HPO.FY24,20,,2024-06-28
Non Prevailing Wage,,139.0,MASARYK TOWERS.HRP.FY25,219,,
Non Prevailing Wage,,8.0,130 EAST 165TH STREET APARTMENTS,75,74.0,
Non Prevailing Wage,,3.0,153 EAST 51 STREET,9,3.0,
Non Prevailing Wage,,1.0,B&R.YR15.FY25,3,,
Non Prevailing Wage,,1.0,B&R.YR15.FY25,8,,
Non Prevailing Wage,,1.0,B&R.YR15.FY25,6,,
Non Prevailing Wage,,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),4,,
Non Prevailing Wage,,4.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),4,,
Non Prevailing Wage,,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),8,,
Non Prevailing Wage,,4.0,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),8,,
Non Prevailing Wage,,,FAC JOE SHELTER RETROFIT GHPP.FY24 (PHASE II),6,,
Non Prevailing Wage,1.0,23.0,SALEM HOUSE.YR15.FY25,48,,
Non Prevailing Wage,,3.0,THE TRIO APARTMENTS,34,11.0,2024-08-27
Non Prevailing Wage,,10.0,37-42 30TH STREET,63,19.0,
Non Prevailing Wage,1.0,54.0,CLAREMONT PARK APARTMENTS.YR15.FY25,98,,
Non Prevailing Wage,1.0,,UPS. 1806 ANTHONY AVE,111,,
Non Prevailing Wage,,,2040 MCGRAW AVE APARTMENTS,24,23.0,
