block,block_1,fact_column,total_dimension1,average_dimension2
10490.0,10490.0,WORK W/O A PERMIT WORK NOTED:AT REAR OF TEH PREMISES ERRECTED A WOODEN SHED & ATTACHED TO THE HOUSE SHED IS APPROX. 12'W X 14'L X 10'H SHED HAS SHINGLES ON THE ROOF & GUTTER & LEADER ATTACHED TO THE ROOF SHED I,0.0,0.0
8036.0,8036.0,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB # 34766271M ISSUED ON 3/03/09 FOR WORK W/O PERMIT AT BSMT INSTALLEDROUGHING AND PIPING TO SUPPORT GAS STOVE RESIDENTIAL SINK & 3PC BATH,12000.0,0.0
1532.0,1532.0,SEC. 1RCNY 9-01 RIGGER FAILED TO NAME A DESIGNATED FOREMAN. NOTED: NO DESIGNATED FOREMAN AT SITE AT TIME OF INSPECTION. WORKER AT SITE SAID HE WAS THE FOREMAN (GONZALO RAMIREZ). BUT THE INSPECTION RECORDS WAS,400.0,0.0
3925.0,3925.0,FAILURE TO COMPLY W/ COMM ORDER TO CORRECT CONDITIONS CITED IN NOV 34776287X FOR WORK DONE W/O A PERMIT CREATED BTRM ETC AT CELLAR REM: CORRECT VIOLATION 34776287X,2400.0,0.0
1616.0,1616.0,UNLAWFUL ACTS. FAILURE TO COMPLY W/ AN ORDER OF THE COMMISSIONER. NOTE: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOC 34755136X FOR WORK W/O A PERMIT @ 2ND FL EAST WALL CREATED AN OPENING,12000.0,0.0
1661.0,1661.0,BC3314.4.2 FAILURE TO MAINTAIN SUPPORTED SCAFFOLD NOTED SCAFFOLD EXP 1 9TH FL SETBACK APPROX 110H IS MISSING GUARDRAILS TOE BOARDS AND HAS DEBRIS STREWN AN PLANKS THAT ARE NOT SECURE REMEDY: MAINTAIN SUPPORTED,1600.0,0.0
11627.0,11627.0,"RECURR COND/UNLAWFUL ACTS,FAILURE TO COMPLY WITH COMM-ORDER TO CORRECTCONDITIONS CITED IN 34578013L-FOR WORK DONE W/O A PERMIT AT CELLAR.RE MEDY:CORRECT CONDITIONS CITED.",24000.0,0.0
1227.0,1227.0,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. NOTED: RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV #34640434Y, HAVING CONSTRUCTED FULL HEIGHT PARTITIONS IN THE CELLAR, THEREBY CREATING",24000.0,0.0
3199.0,3199.0,GAS BEING SUPPLIED TO BUILDING (APT. A4) WITHOUT INSPECTION AND CERTI-FICATION BY THIS DEPARTMENT. FOUND GAS ON AND WHAT APPEARS TO BE NEW  LOCKWING GAS COCK IN OPEN POSITION. REMEDY: FILE FOR REQUIRED PERMITS,2500.0,0.0
544.0,544.0,"UNLAWFUL ACTS-FAILURE TO COMPLY WITH A COMMISSIONER'S ORDER TO CORRECTVIOLATION #34624437J, ISSUED ON 05/05/08, ISSUED FOR THE ILLEGAL STORAGE OF A SHIPPING CONTAINER, DEBRIS BOX DUMPSTERS, A COMMERCIAL DUMP TR",2400.0,0.0
3794.0,3794.0,"UNLAWFUL ACTS FAIL RO COMPLY W/ AN ORDER OF THE COMM'S NOTED:RESP FAILED TO CORRECT THE CONDITIONS CITED IN THE PRIOR NOV#34737069X,HAVING REMOVED WATER & WATSE LINES & GAS LINES @ 2ND FLR W/O A PERMIT.NO RECOR",12000.0,0.0
3097.0,3097.0,"ROOF LEAKS. LOCATION. (1) CORRIDOR @ 309 (2) RM 308 (3) RM 309 (4) RM 310 (5) RM 307. REMEDY: REPAIR ROOF, PREVENT LEAKS",0.0,0.0
15966.0,15966.0,FAIL TO CORRECT ECB # 34719370X FOR ILLEGAL EXTENSION AT REAR NO RECORD OF CORRECTION W/DOB. REMEDY: COMPLY W/ORDER.,24000.0,0.0
544.0,544.0,"FAILURE TO MAINTAIN SUPPORTED SCAFFOLD. NOTED: APPRX 70'HIGH SCAFFOLD AT EXP #'S 1,4 HAS UNSECURE AND MISSING PLANKS GUARDRAILS TOEBOARDS AND HAS UNSECURE MATERIAL AND DEBRIS OVERHEAD OF WORKERS. REMEDY: MAINTA",1600.0,0.0
13154.0,13154.0,FAILURE TO COMPLY W/ THE COMMS ORDER TO OBTAIN A PERMIT PER VIOLATION #34651192Y ISSUED 5/23/08 FOR WORK W/O PERMIT CELLAR LVL REM: OBTAIN PERMIT,2400.0,0.0
2786.0,2786.0,"WORK W/O A PERMIT. NOTED: CELLAR OF 2 STYS BLDG IS CONVERTED TO A CLASS 'A' APT W/3 PC BATHROOM AND KITCHEN W/GAS STOVE, 1 BEDROOM W/O PERMIT. REMEDY: OBTAIN PERMIT OR RESTORE PREMISES TO PRIOR LEGAL CONDITION.",0.0,0.0
6071.0,6071.0,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER ECB#34775932P,ISSUED ON 06/10/2009, FOR WORK W/O PERMIT:@ CELLAR,INSTALLED ROUGHING & PIPING TO SUPPORT RESIDENTIAL SINK,GAS STOVE, & 3PC BATH",12000.0,0.0
3942.0,3942.0,FAILURE TO MAINTAIN BLDG WALLS OR APPURTENANCES NOTED DEFECT 3 STY WOOD FRAME FROM EXTERIOR AT 2ND FL AND 3RD FL BLDG APPEARS TO BE OUT OF PLUMBAND LEANING APPROX 23 INC TOWARD EAST REMEDY: MAINTAIN BLDG,1000.0,0.0
1087.0,1087.0,FAILURE TO MAINTAIN BLDG NOTED AT BOTH SIDES OF MAIN ROOF AREA ROOF SHINGLES ARE BLOWING OFF ONTO ADJACENT PROPERTIES OVER HANGS ARE COMPLETELY ROTTED AT REAR OF BLDG BLDG PRESENT CONSITION COULD BE DANGEROUS,2500.0,0.0
1283.0,1283.0,EXIT PASSAGE 1 DOOR TOTAL OBSTRUCTION AT BASEMENT LEVEL EXIT PASSAGEWAY FROM STORE TOTAL OBSTRUCTION DEFECT NOTED AT EXIT DOOR BLOCKED WITH STORE MERCHANDISE ON OUTSIDE OF DOOR ON INSIDE OF DOOR SHELVER,480.0,0.0
1544.0,1544.0,"SEC. 3304.3.1;27-195. FAILURE TO NOTIFY DOB W/I 24-48 HRS OF START OF EXCAVATION. NOTED: SITE HAS BEEN SHORED, EXCAVATED W/MACHINE ON SITE. AT TIME OF INSPECTION NO RULE ( ) MADE. REMEDY: COMPLY W/NOV BY",0.0,0.0
2132.0,2132.0,FAILURE TO FILE AN AMENDED 5TH ROUND REPORT ACCEPTABLE TO THIS DEPARTMENT INDICATING CORRECTION OF UNSAFE CONDITIONS DESCRIBED IN INITIAL LOCAL LAW 11/98 REPORT. REMEDY: FILE AN AMENDED REPORT FOLLOWING REMEDIA,0.0,0.0
1689.0,1689.0,FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER'S TO OBTAIN PERMITS FOR VIOLATION 34770646L ISSUED FOR THIRD FL APT NEW ELECTRICAL PLUMBING LINES AND PARTITIONS WITHOUT A PERMIT. REM: COMPLY WITH COMMISSION,2400.0,0.0
1255.0,1255.0,"FAILURE TO COMPLY W/COMMISSIONER'S ORDER TO CORRECT ECB #34757630K FORILLEGAL EXTENSION AT REAR YARD. NO RECORD OF CORRECTION W/DOB. REMEDY:COMPLY W/ORDER, OBTAIN PERMIT.",12000.0,0.0
8180.0,8180.0,UNLAWFUL ACTS. FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER. RESPONDENT FAILED TO CORRECT THE CONDITIONS CITED IN PRIOR NOV ECB 34757744Z FOR WORK W/O A PERMITT FOR ILLEGGAL ADDITION AT REAR OF BLDG APPROX,2400.0,0.0
1627.0,1627.0,WORK DOES NOT CONFORM TO APPROVED CONSTRUCTION DOCUMENTS AND/OR APPROVED AMENDMENTS INSP DWG 06/08/07 ON AN EXPIRED FOLDER 6/7/08 PREMISES UNDER PC JOB ALTII 402600681 APPLICATION FILED TO LEGALIZE ANTENNA ON R,500.0,0.0
6184.0,6184.0,FAILURE TO MAINTAIN BUILDING IN A CODE-COMPLAINT MANNER.FAILURE TO RETAIN PROPERTY'S OWN WATERCOURSE.AT TIME OF INSPECTION OBSERVED AT REAR OF PREMISES GUTTER & DOWN SPOUT FROM GARAGE ROOF NOT PROPERLY CONNECTE,0.0,0.0
3076.0,3076.0,FAILURE TO FILE AN ACCEPTABLE SIXTH ROUND TECHNICAL REPORT IN COMPLIANCE WITH CODE PROVISIONS: PERIODIC INSPECTION OF EXTERIOR WALLS AND APPURTENANCES AS REQUIRED BY ARTICLE 28.302 AND THE DEPARTMENT OF BUILDIN,4000.0,0.0
202.0,202.0,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO CORRECT CONDITIONS CITED IN NOV 34761135P FOR WORK DONE W/O A PERMIT REMEDY:CORRECT CONDITIONS CITED.,0.0,0.0
7154.0,7154.0,"FAILURE TO PROVIDE CONTRACTORS SIGN. NOTE: PERMIT HOLDER AT SITE OF ALTERATION/DEMOLITION NOW W/O THE REQUIRED DOB CONTRACTORS SIGN W/NAME, ADDRESS, PHONE NUMBERS OF OWNER & CONTRACTOR. REMEDY: PROVIDE",500.0,0.0
5046.0,5046.0,ALTERED BUILDING OCCUPIED WITHOUT A VALID C OF O. BLDG OCCUPIED ALT 1507-50 ALTERATION. DEM 220-50 LNO 3101 FL 1 DENIED RETAIL STORES. LNO 3113 FL DENIED RETAIL STORE. LNO 3150 1ST FL DENIED RETAIL STORE.FILE,360.0,0.0
683.0,683.0,"WIRE GLASS IN DOOR LIGHTS REPLACED W/ PLEXIGLASS LOCATION. C-114, C-115 REMEDY: INSTALL WIRE GLASS",0.0,0.0
5046.0,5046.0,"FAILURE TO COMPLY W/AN ORDER OF THE COMMISSIONER TO FILE C/C FOR NOV 34637647K/030508C07SA02, STATUS: OVERDUE COMPLIANCE REMEDY: COMPLY W/COMMISSIONER'S ORDER.",4800.0,0.0
10715.0,10715.0,"UNLAWFUL ACTS.FAILURE TO COMPLY WITH AN ORDER OF THE COMMISSIONER     TO FILE A CERTIFICATE OF CORRECTION W/DOB FOR NOV 34431124H ISSUED ON 2/27/04. AT TIME OF INSPECTION, CERTIFICATION STATUS W/OVERDUE COMPLIA",48000.0,0.0
3843.0,3843.0,WORK W/O A PERMIT. NOTED: AT REAR OF BUILDING AT 2ND FLR LEVEL ERECTEDA DECK. APPROX SIZE 10'X 15'. THE STRUCTURES ARE STEEL POSTS & WOOD JOISTS THE DECK IS ATTACHED TO THE BUILDING. AT 2ND FLR REPLACED A WINDO,800.0,0.0
