dob_violation_number,bin,ecb_violation_number,respondent_name,block,issue_date,ecb_violation_status,violation_description,rank,dense_rank
032500C01GS05,4010379,34225864X,JOCKA ANNEMARIE,655.0,20000325,RESOLVE,RESIDENCE IS ALTERED FOR OCCUPANCY AS A DWELLING FOR MORE THAN LEGALLY APPROVED NUMBER OF FAMILY AS PER C OF O #172457 RESIDENCE LEGALLY APPROVED TWO FAMILY RESIDENCE IS NOW ALTERED FOR OCCUPANCY BY THREE FAMIL,1,1
110609ASTFJM02,3154311,34810505L,ALI MONA,6071.0,20091106,RESOLVE,"FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER ECB#34775932P,ISSUED ON 06/10/2009, FOR WORK W/O PERMIT:@ CELLAR,INSTALLED ROUGHING & PIPING TO SUPPORT RESIDENTIAL SINK,GAS STOVE, & 3PC BATH",1,1
092209ASTFJM07,3225728,34808098K,VISTA HOLDINGS LLC,8036.0,20090922,RESOLVE,FAILURE TO COMPLY W/THE COMMISSIONER'S ORDER TO OBTAIN A PERMIT PER VECB # 34766271M ISSUED ON 3/03/09 FOR WORK W/O PERMIT AT BSMT INSTALLEDROUGHING AND PIPING TO SUPPORT GAS STOVE RESIDENTIAL SINK & 3PC BATH,1,1
072109C05KB02,4093892,34797754Z,JOSEPH CHIMIENTI,3843.0,20090721,RESOLVE,WORK W/O A PERMIT. NOTED: AT REAR OF BUILDING AT 2ND FLR LEVEL ERECTEDA DECK. APPROX SIZE 10'X 15'. THE STRUCTURES ARE STEEL POSTS & WOOD JOISTS THE DECK IS ATTACHED TO THE BUILDING. AT 2ND FLR REPLACED A WINDO,1,1
091809C04KS02,4040680,34795411H,CHOUDARY M AKRAM,1627.0,20090918,ACTIVE,WORK DOES NOT CONFORM TO APPROVED CONSTRUCTION DOCUMENTS AND/OR APPROVED AMENDMENTS INSP DWG 06/08/07 ON AN EXPIRED FOLDER 6/7/08 PREMISES UNDER PC JOB ALTII 402600681 APPLICATION FILED TO LEGALIZE ANTENNA ON R,1,1
111909ASTFGM13,4251696,34817788M,MOUZON DANIELLE,11655.0,20091119,RESOLVE,FAILURE TO CORRECT ECB#34650712Y FOR ILLEGAL CLASS A APT IN CELLAR LVLRESPONDENT HAS A HISTORY OF NON-COMPLIANCE W/ DOB REM; COMPLY W/ ORDER,1,1
010710CSTFRC05,4286455,34807940Z,MUIR CRAIG,13463.0,20100107,RESOLVE,UNLAWFUL ACTS. FAIL TO COMPLY W.COMM ORDER. RESPONDENT FAILED TO CORRECT THE CONDITION CITED IN THE PRIOR NOV 34682594Z- FOR WORK W.O A PERMIT. INSTALLED 3 PC BATHROOM & GAS LINE AT CELLAR LEVEL. NO RECORD OF C,1,1
042209CEXGYG01,4038660,34773853H,CZ CONSTRUCTION INC,1544.0,20090422,RESOLVE,"SEC. 3304.3.1;27-195. FAILURE TO NOTIFY DOB W/I 24-48 HRS OF START OF EXCAVATION. NOTED: SITE HAS BEEN SHORED, EXCAVATED W/MACHINE ON SITE. AT TIME OF INSPECTION NO RULE ( ) MADE. REMEDY: COMPLY W/NOV BY",1,1
022309E1041C01,3048072,38201270H,INTERFAITH MEDICAL CENTER,1705.0,20090223,RESOLVE,67X10.67X CAR PHONE,1,1
042199P7SF3,2014305,34177334P,JONGINE REALTY CORP.,3199.0,19990421,RESOLVE,GAS BEING SUPPLIED TO BUILDING (APT. A4) WITHOUT INSPECTION AND CERTI-FICATION BY THIS DEPARTMENT. FOUND GAS ON AND WHAT APPEARS TO BE NEW  LOCKWING GAS COCK IN OPEN POSITION. REMEDY: FILE FOR REQUIRED PERMITS,1,1
072409CSSU1204,1008774,34787838R,SEABOARD WEATHERPROOFING,544.0,20090724,RESOLVE,"UNLAWFUL ACTS-FAILURE TO COMPLY WITH A COMMISSIONER'S ORDER TO CORRECTVIOLATION #34624437J, ISSUED ON 05/05/08, ISSUED FOR THE ILLEGAL STORAGE OF A SHIPPING CONTAINER, DEBRIS BOX DUMPSTERS, A COMMERCIAL DUMP TR",1,1
