account_number,vendor_formal_name,id6_digit_naics_code,t3_vendor_formal_name,value_of_contract_job_exp_3,mailingzip,value_of_contract_job_exp_2,mailingcity
103720,Art & Craft Executive Decorator,541410,Art & Craft Executive Decorator,17500.0,11727,130000.0,Coram
3381,"Airosmith, Inc.",541690,"Airosmith, Inc.",1800000.0,12866,5000000.0,Saratoga Springs
314146,"Art for Film, LLC",711410,"Art for Film, LLC",16243.0,11205,4890.0,Brooklyn
10087,8 Path Solutions LLC,541990,8 Path Solutions LLC,700.0,10036,700.0,New York
379960,26 Elizabeth LLC,456199,26 Elizabeth LLC,225.0,10022,200.4,New York
10651,"Arrowpoint Tax Services, Inc.",541211,"Arrowpoint Tax Services, Inc.",1000.0,10462,1500.0,Bronx
3209,Arol Management LLC,541618,Arol Management LLC,428855.0,10021,521442.0,New York
10176,"ABC Technology Services, LLC",541519,"ABC Technology Services, LLC",26593.0,14225,48314.0,Buffalo
10414,"All Pro Roofing & Siding, Inc",238160,"All Pro Roofing & Siding, Inc",32250.0,7733,65000.0,Holmdel
315255,1 Oak Tasty Deli Inc.,722511,1 Oak Tasty Deli Inc.,710.0,10032,266.25,New York
371194,Amber Contractors Corp.,238350,Amber Contractors Corp.,7501.0,11418,9990.0,RICHMOND HILL
366065,Acumen GMAT LLC,722515,Acumen GMAT LLC,3623.0,10025,8462.0,New York
6336,Architecture Work Office PLLC,541310,Architecture Work Office PLLC,140000.0,10025,140000.0,new york
333645,A+ Therapy LLC,621340,A+ Therapy LLC,5750.0,11209,3015.0,Brooklyn
340551,"1st Line Protection, Inc.",561612,"1st Line Protection, Inc.",15000.0,11729,80000.0,Deer Park
2777,Amigo Construction NY Inc.,236115,Amigo Construction NY Inc.,9600.0,11596,32800.0,Williston Park
10395,All Aces Corp,238390,All Aces Corp,1500.0,11772,352703.0,Patchogue
338467,Abstrak Vision,711510,Abstrak Vision,2000.0,10031,7500.0,New York
392652,Aqua Treat LLC,561990,Aqua Treat LLC,22556.0,11040,16784.0,New Hyde Park
936,Aimes Medical Equipment Rental and Props,423450,Aimes Medical Equipment Rental and Props,2950.0,10701,10005.0,Yonkers
103992,"Above and Beyond Talent Acquisition, Inc.",541690,"Above and Beyond Talent Acquisition, Inc.",15400.0,11205,55224.0,Brooklyn
309030,58 JKS Corp,722330,58 JKS Corp,2125.0,11701,5500.0,Amityville
389285,"Apter & O'Connor Associates, Inc",541618,"Apter & O'Connor Associates, Inc",140000.0,13104,45000.0,Manlius
326072,"A&H Security Services, LLC",541990,"A&H Security Services, LLC",707814.0,10455,16676311.0,Bronx
359049,3G Security Corp,561612,3G Security Corp,52570.0,11010,19579.0,Franklin Sq
379009,349 Dino Realty Corp.,423390,349 Dino Realty Corp.,218000.0,11694,2900000.0,Belle Harbor
10104,A & T Corp.,541330,A & T Corp.,37000.0,11358,9000.0,Flushing
10425,"Allergic to Salad, LLC",611110,"Allergic to Salad, LLC",150000.0,11106,120000.0,Astoria
104108,Agios World Wide Inc.,519290,Agios World Wide Inc.,2124.0,11787,18830.0,Smithtown
7347,718 Consulting Inc.,221114,718 Consulting Inc.,45000.0,11412,57000.0,Saint Albans
10263,Admiral Energy Corp.,457210,Admiral Energy Corp.,2985.0,10306,2690.0,Staten Island
6783,"Area Engineering, Inc.",541330,"Area Engineering, Inc.",59979.0,8902,235000.0,North Brunswick
