telephone,school_count,selectioncriteria3_prog1,telephone_1,code_prog1,code_prog1_1
718-901-0436,1,,718-901-0436,X211U,X211U
718-583-4146,1,,718-583-4146,X331U,X331U
718-326-6210,1,,718-326-6210,Q128Z,Q128Z
718-746-0818,1,,718-746-0818,Q194U,Q194U
718-563-7139,1,,718-563-7139,X243L,X243L
718-547-1890,1,,718-547-1890,X532U,X532U
718-739-6883,1,,718-739-6883,Q008U,Q008U
212-666-1278,1,Final 4th Grade Report Card,212-666-1278,M362M,M362M
718-588-8221,1,,718-588-8221,X593M,X593M
212-876-5522,1,Attendance,212-876-5522,M057S,M057S
212-543-4960,1,,212-543-4960,M286L,M286L
718-830-4970,1,,718-830-4970,Q190U,Q190U
718-574-2834,1,,718-574-2834,K898U,K898U
212-544-8021,1,Spanish Interview,212-544-8021,M311M,M311M
212-247-8652,1,Audition,212-247-8652,M408M,M408M
212-860-6047,1,Attendance,212-860-6047,M224M,M224M
718-353-0009,1,,718-353-0009,Q281U,Q281U
212-749-5800,1,Final 4th Grade Report Card,212-749-5800,M415S,M415S
718-842-6138,1,Attendance and Punctuality,718-842-6138,X128S,X128S
212-860-5803,1,,212-860-5803,M108U,M108U
718-723-6200,1,,718-723-6200,Q072M,Q072M
212-678-2861,1,Entrance Assessment,212-678-2861,M054M,M054M
212-360-0114,1,,212-360-0114,M114M,M114M
