sitekey,total_wed_open_hours,opendateiso,opendatestr
FBNYC - 84,10.0,2019-02-06,Feb 6
FBNYC - 14,11.0,2019-01-28,Jan 28
FBNYC - 9,9.5,2019-01-28,Jan 28
FBNYC - 53,,2019-01-22,Jan 22
FBNYC - 8,9.0,2019-01-28,Jan 28
FBNYC - 58,,2019-01-11,Jan 11
FBNYC - 43,,2019-01-28,Jan 28
AARPMN - 9,,2019-01-29,Jan 29
FBNYC - 50,11.0,2019-01-23,Jan 23
