location_code,fiscal_year,administrative_district_name,location_name,grades_text,location_category_description,community_district_1,administrative_district_code
K415,2020,COMMUNITY SCHOOL DISTRICT 18,Samuel J. Tilden High School,"10,11,12,SE",High school,317,18
K219,2020,COMMUNITY SCHOOL DISTRICT 18,P.S. 219 Kennedy-King,"PK,0K,01,02,03,04,05,SE",Elementary,317,18
K612,2020,ALTERNATIVE HIGH SCHOOL DISTRICT,Community Preparatory High School,,High school,105,79
K447,2020,COMMUNITY SCHOOL DISTRICT 15,The Math & Science Exploratory School,"06,07,08,SE",Junior High-Intermediate-Middle,302,15
K131,2020,COMMUNITY SCHOOL DISTRICT 15,P.S. 131 Brooklyn,"PK,0K,01,02,03,04,05,SE",Elementary,312,15
K136,2020,COMMUNITY SCHOOL DISTRICT 15,I.S. 136 Charles O. Dewey,"06,07,08,SE",Junior High-Intermediate-Middle,307,15
K509,2020,COMMUNITY SCHOOL DISTRICT 13,Freedom Academy High School,"09,10,11,12,SE",High school,302,13
K205,2020,COMMUNITY SCHOOL DISTRICT 20,P.S. 205 Clarion,"PK,0K,01,02,03,04,05,SE",Elementary,311,20
K682,2020,COMMUNITY SCHOOL DISTRICT 20,The Academy of Talented Scholars,"0K,01,02,03,04,05,SE",Elementary,311,20
M169,2020,CITYWIDE SPECIAL EDUCATION,P.S. M169 - Robert F. Kennedy,"0K,01,02,03,04,05,06,07,08,10,11,12,SE",K-12 all grades,108,75
K050,2020,COMMUNITY SCHOOL DISTRICT 14,J.H.S. 050 John D. Wells,"06,07,08,SE",Junior High-Intermediate-Middle,301,14
M415,2020,,Wadleigh Secondary School for the Performing & Vis,"06,07,08,09,10,11,12,SE",Secondary School,110,3
K595,2020,,Bedford Academy High School,"09,10,11,12,SE",High school,303,13
K498,2020,,Brooklyn High School for Law and Technology,"09,10,11,12,SE",High school,303,16
M412,2020,,N.Y.C. Lab School for Collaborative Studies,"09,10,11,12,SE",High school,104,2
K659,2020,,Cypress Hills Collegiate Preparatory School,"09,10,11,12,SE",High school,305,19
K399,2020,COMMUNITY SCHOOL DISTRICT 17,P.S. 399 Stanley Eugene Clark,"0K,01,02,03,04,05,SE",Elementary,317,17
K705,2020,COMMUNITY SCHOOL DISTRICT 17,Brooklyn Arts and Science Elementary School,"PK,0K,01,02,03,04,05,SE",Elementary,308,17
K061,2020,COMMUNITY SCHOOL DISTRICT 17,M.S. 061 Dr. Gladstone H. Atwell,"06,07,08,SE",Junior High-Intermediate-Middle,309,17
K538,2020,OFFICE OF CHARTER SCHOOLS,Achievement First Bushwick Charter School,"0K,01,02,03,04,05,06,07,08,SE",K-12 all grades,304,84
K744,2020,OFFICE OF CHARTER SCHOOLS,Coney Island Preparatory Public Charter School,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",K-12 all grades,313,84
M204,2020,OFFICE OF CHARTER SCHOOLS,Capital Preparatory (CP) Harlem Charter School,"06,07,08,09,10",Secondary School,111,84
K766,2020,OFFICE OF CHARTER SCHOOLS,The International Charter School of New York,"0K,01,02,03,04,05",Elementary,302,84
