centername,phone,phone_1,centername_1,publichealthhazardviolationrate,total_violationratepercent
HAWTHORNE CORNERS DAY CARE CENTER INC.,718-282-7200,718-282-7200,HAWTHORNE CORNERS DAY CARE CENTER INC.,0.0,200.0
NY KIDS CLUB,718-305-4057,718-305-4057,NY KIDS CLUB,0.0,33.3334
"NORTHEAST BRONX DAY CARE CENTER, INC.",718-547-1735,718-547-1735,"NORTHEAST BRONX DAY CARE CENTER, INC.",0.0,133.3334
"OUR CHILDREN FIRST, INC",347-913-4367,347-913-4367,"OUR CHILDREN FIRST, INC",20.0,160.0
THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,718-978-0075,718-978-0075,THE ROCHDALE EARLY ADVANTAGE PRESCHOOL,33.3333,2133.3344
"3467 READY, SET,  LEARN L L C",718-665-1234,718-665-1234,"3467 READY, SET,  LEARN L L C",,
STEPPING STONES,718-630-1000,718-630-1000,STEPPING STONES,0.0,0.0
"BOOKS & RATTLES, INC.",718-899-1532,718-899-1532,"BOOKS & RATTLES, INC.",0.0,100.0
PROSPECT PARK YESHIVA,718-376-5959,718-376-5959,PROSPECT PARK YESHIVA,100.0,200.0
JOY DAYCARE INC.,917-563-1338,917-563-1338,JOY DAYCARE INC.,25.0,50.0
SUNSHINE LEARNING CENTER,718-996-7200,718-996-7200,SUNSHINE LEARNING CENTER,0.0,25.0
EVERBROOK ACADEMY,212-682-8080,212-682-8080,EVERBROOK ACADEMY,0.0,200.0
BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,718-435-5111,718-435-5111,BAIS YAAKOV FAIGEH SCHONBERGER OF ADAS YEREIM,0.0,0.0
"SY SEIT, LLC",646-404-2106,646-404-2106,"SY SEIT, LLC",16.6667,900.0
PS OF THE ARTS,212-677-7375,212-677-7375,PS OF THE ARTS,16.6667,66.6668
"NORTHEAST BRONX DAY CARE CENTER,INC.",718-655-5500,718-655-5500,"NORTHEAST BRONX DAY CARE CENTER,INC.",20.0,80.0
"IRA'S BRIARWOOD DAY CARE & PRESCHOOL,INC.",718-526-1803,718-526-1803,"IRA'S BRIARWOOD DAY CARE & PRESCHOOL,INC.",0.0,0.0
BRIGHT HORIZONS AT EAST VILLAGE,332-255-8506,332-255-8506,BRIGHT HORIZONS AT EAST VILLAGE,0.0,42.8571
"BILINGUAL NEST, LLC",917-825-8763,917-825-8763,"BILINGUAL NEST, LLC",0.0,16.6667
AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,718-322-9080,718-322-9080,AFRO-AMERICAN PARENTS EDUCATIONAL CENTER INC.,0.0,200.0
"BEGINNINGS NURSERY SCHOOL, INC.",212-228-5679,212-228-5679,"BEGINNINGS NURSERY SCHOOL, INC.",0.0,40.0
LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,347-427-3642,347-427-3642,LITTLE DAYDREAMERS LEARNING CENTER 3 LLC,33.3333,266.6668
