facgroup,total_capacity
CHILD SERVICES AND WELFARE,0.0
PARKS AND PLAZAS,0.0
SCHOOLS (K-12),465.0
HUMAN SERVICES,0.0
DAY CARE AND PRE-KINDERGARTEN,0.0
HEALTH CARE,0.0
"OFFICES, TRAINING, AND TESTING",0.0
TRANSPORTATION,217.0
JUSTICE AND CORRECTIONS,0.0
CULTURAL INSTITUTIONS,0.0
"CITY AGENCY PARKING, MAINTENANCE, AND STORAGE",0.0
YOUTH SERVICES,0.0
SOLID WASTE,0.0
