bin,t4_bin,t1_address,t3_address,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_est_gross_income,queens_cooperatives_comparable_properties_gross_income_per_sqft
4051462.0,4051462.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",66.0,701589,16.2
4074614.0,4074614.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",63.0,1774080,15.4
4052427.0,4052427.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",62.0,1224300,15.25
4052582.0,4052582.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 35 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""110 35 72 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",57.0,1836715,14.5
4078759.0,4078759.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 20 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""73 20 AUSTIN STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",56.0,1766335,14.1
4000969.0,4000969.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""50 05 43 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",65.0,1029600,16.0
4002131.0,4002131.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 05 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""42 05 48 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",60.0,801000,15.0
4064929.0,4064929.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",47.3,679266,12.6
4116426.0,4116426.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",48.3,1000000,12.85
4115401.0,4115401.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",46.6,2124356,12.4
