bin,bin_1,nta,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_gross_income_per_sqft,queens_cooperatives_comparable_properties_est_gross_income,total_gross_sqft
4000969.0,4000969.0,Hunters Point-Sunnyside-West Maspeth                                       ,65.0,16.0,1029600,64350.0
4052582.0,4052582.0,Forest Hills                                                               ,57.0,14.5,1836715,126670.0
4113841.0,4113841.0,Murray Hill                                                                ,51.0,13.5,1168776,86576.0
4116426.0,4116426.0,Flushing                                                                   ,48.3,12.85,1000000,77822.0
4431565.0,4431565.0,North Corona                                                               ,50.0,13.3,3857000,290000.0
4193459.0,4193459.0,Kew Gardens                                                                ,38.8,11.0,476124,43284.0
4455192.0,4455192.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,14.52,1374666,94674.0
4104354.0,4104354.0,Whitestone                                                                 ,40.5,11.5,467958,40692.0
4453850.0,4453850.0,Briarwood-Jamaica Hills                                                    ,54.0,13.7,3468566,253180.0
4115401.0,4115401.0,Flushing                                                                   ,46.6,12.4,2124356,171319.0
4007112.0,4007112.0,Astoria                                                                    ,47.5,12.64,212352,16800.0
4064929.0,4064929.0,Elmhurst                                                                   ,47.3,12.6,679266,53910.0
4065242.0,4065242.0,Rego Park                                                                  ,55.0,14.0,1322048,94432.0
4315314.0,4315314.0,Douglas Manor-Douglaston-Little Neck                                       ,42.3,12.0,1827432,152286.0
4454685.0,4454685.0,Glen Oaks-Floral Park-New Hyde Park                                        ,42.4,12.0,1136220,94685.0
4035712.0,4035712.0,Jackson Heights                                                            ,38.7,11.0,982800,89340.0
4074614.0,4074614.0,Forest Hills                                                               ,63.0,15.4,1774080,115200.0
4002131.0,4002131.0,Hunters Point-Sunnyside-West Maspeth                                       ,60.0,15.0,801000,53400.0
4431751.0,4431751.0,Corona                                                                     ,48.0,12.75,3001860,235440.0
4052786.0,4052786.0,Forest Hills                                                               ,48.8,13.0,311610,23970.0
4434846.0,4434846.0,Lindenwood-Howard Beach                                                    ,41.7,11.82,1761180,149000.0
4113180.0,4113180.0,Flushing                                                                   ,39.1,11.1,1676100,151000.0
4119923.0,4119923.0,Murray Hill                                                                ,49.2,13.08,170000,12995.0
4435022.0,4435022.0,Lindenwood-Howard Beach                                                    ,23.62,7.7,570601,74104.0
4210164.0,4210164.0,Jamaica                                                                    ,41.6,11.8,698088,59160.0
4304908.0,4304908.0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,56.0,14.04,577324,41120.0
4443729.0,4443729.0,Ft. Totten-Bay Terrace-Clearview                                           ,58.0,14.57,5940363,407712.0
4065248.0,4065248.0,Rego Park                                                                  ,56.0,14.0,809424,57816.0
4052427.0,4052427.0,Forest Hills                                                               ,62.0,15.25,1224300,80282.0
4078759.0,4078759.0,Forest Hills                                                               ,56.0,14.1,1766335,125272.0
4170057.0,4170057.0,Douglas Manor-Douglaston-Little Neck                                       ,41.4,11.75,1331651,113332.0
4051462.0,4051462.0,Forest Hills                                                               ,66.0,16.2,701589,43308.0
