base_does_business_as,industry_sector,total,average,count
PARTNERS DYNAMIC SECURITY TRANSPORTATION,luxury limo,0.0,0.0,1
SEAT & GO CAR & LIMOUSINE SERVICE ,black car,0.0,0.0,1
SEAGULL CORPORATE TRANSPORTATION ,livery,0.0,0.0,8
MOBILE #1 CAR SERVICE ,livery,0.0,0.0,1
UBER,black car,0.0,0.0,28
MAZIN CAR & LIMO SERVICE,livery,0.0,0.0,1
PASHA ENTERPRISES ,luxury limo,0.0,0.0,1
GOTHAM CAR SERVICE,livery,0.0,0.0,1
MATTHEW'S LIMO ,black car,0.0,0.0,1
EUROPE LIMO SERVICE ,luxury limo,0.0,0.0,1
NEW NEIGHBOR LUXURY,luxury limo,0.0,0.0,1
BROAD DYCKMAN CAR SERVICE ,livery,0.0,0.0,1
SEAGULL CORPORATE TRANSPORTATION ,black car,0.0,0.0,8
MIRAE CALLS ,black car,0.0,0.0,1
MEXICANA CAR SERVICE ,livery,0.0,0.0,1
DIANE CAR SERVICE,livery,0.0,0.0,1
BER LIMO,luxury limo,0.0,0.0,1
V S EXPRESS LIMO AND CAR SERVICE ,livery,0.0,0.0,1
BAY EXPRESS ,livery,0.0,0.0,1
B Q N CAR SERVICE ,livery,0.0,0.0,1
CAR 24 TRANSPORTATION,black car,0.0,0.0,1
GROUP AMERICAR TRANSPORTATION,black car,0.0,0.0,1
COMMUNITY CAR SERVICE,livery,0.0,0.0,1
LINDA & M TRANSPORTATION,livery,0.0,0.0,1
ZPI CORPORATION,livery,0.0,0.0,1
THE ORIGINAL DIAL CAR & LIMO,luxury limo,0.0,0.0,1
BLS LIMO SERVICE OF NY ,luxury limo,0.0,0.0,1
LAKEVIEW CARS,livery,0.0,0.0,1
PARTICULAR PEOPLE CAR SERVICE ,livery,0.0,0.0,1
FLATIRON TRANSIT ,black car,0.0,0.0,1
MONACO LIMO & CAR SERVICES ,livery,0.0,0.0,1
HARLEM CARS ,livery,0.0,0.0,1
THE ORIGINAL DIAL CAR & LIMO,black car,0.0,0.0,1
CAREY LIMO NY ,luxury limo,0.0,0.0,1
TAP & RIDE,black car,0.0,0.0,1
GROUP AMERICAR TRANSPORTATION,livery,0.0,0.0,1
SKYLINE CREDIT RIDE,black car,0.0,0.0,1
LAPUMA GO GREEN,livery,0.0,0.0,2
R & R ROAD LIMO SERVICE ,luxury limo,0.0,0.0,1
