omppropid,site_count,nys_senate,descriptio,gstype
XZ327,1,29,University Malls,
QZ775,1,16,Greenstreet,Greenstreet
QZ239,1,13,Greenstreet,
BZ561,1,20,"Vanderbilt Av Pedestrian Refuges, Park to Dean",Ped_Ref
QZ765,1,16,Greenstreet,
QZ466,1,11,Greenstreet,Greenstreet
MZ104,1,29,Greenstreet,
QZ351,1,11,Greenstreet,
QZ142B,1,13,Flushing Meadows Park-Greenstreet,
QZ389,1,11,Greenstreet,Greenstreet
QZ429,1,14,Greenstreet,Greenstreet
QZ138,1,12,Greenstreet,TreeOnlyMed
XZ181,1,34,Greenstreet,Greenstreet
QZ370,1,11,Greenstreet,
BZ182,1,17,GREENSTREET-Flatbush Malls,Greenstreet
XZ458,1,33,"Jerome Avenue, Parkview Terrace, and Morris Avenue",Greenstreet
QZ763,1,"16, 11",Greenstreet,
QZ285,1,13,Greenstreet,Greenstreet
MZ223,1,31,Riverside Park-Greenstreet,TreeOnlyMed
XZ146,1,36,Greenstreet,
QZ30,1,16,Atlantis Triangle,Greenstreet
QZ544,1,14,Greenstreet,
QZ364,1,11,Greenstreet,Ped_Ref
MZ234,1,26,GREENSTREET,
QZ148,1,11,Greenstreet,Greenstreet
XZ415,1,33,St Lawrence Triangle,SA_Tri
MZ300,1,26,I L Peretz Square-Greenstreet,
QZ689,1,15,Greenstreet,
BZ183,1,17,GREENSTREET-Flatbush Malls,Greenstreet
QZ601,1,14,Greenstreet,Greenstreet
QZ140,1,13,Greenstreet,Greenstreet
QZ799,1,14,Triangle,
XZ405,1,34,Schneider-sampson Park,Greenstreet
MZ393,1,27,Greenwich Ave & 7th Ave,Greenstreet
QZ175,1,13,"Greenstreet - Broadway, Northern, 53 Pl",Greenstreet
QZ538,1,14,Greenstreet,
QZ153,1,11,Greenstreet,Greenstreet
QZ82,1,11,Greenstreet,Greenstreet
QZ499,1,14,Greenstreet,
QZ128,1,11,Greenstreet,Greenstreet
QZ110,1,13,Greenstreet,Greenstreet
QZ318,1,16,Handball Haven,SA_Tri
BZ493,1,21,Park-Greenstreet,SA_Tri
XZ407,1,34,Olmsted Triangle,SA_Tri
QZ149,1,11,Greenstreet,Greenstreet
MZ378,1,27,9th Avenue - 23rd st to 31 st,Ped_Ref
BZ527,1,18,Patchen ave & Broadway,Greenstreet
QZ448,1,15,Greenstreet,Greenstreet
QZ228,1,12,Greenstreet,
QZ49,1,16,Greenstreet,Greenstreet
