program1,method1,total,count,average
Jacob K. Javits Law Institute,Ed. Opt.,2719.0,1,2719.0
Software Engineering Institute,Open,316.0,1,316.0
STEM Institute for Science Research,Screened,296.0,1,296.0
Computer Forensic Science and Technology,Ed. Opt.,153.0,1,153.0
Instrumental Music,Audition,65.0,1,65.0
