nys_senate,commission,global_id,descriptio,nys_assemb,councildis,gstype,rank,dense_rank
33,2010-01-11 08:00:00+08:00,{395E1DD2-2B44-4032-A49E-A48CDD420DBA},St Lawrence Triangle,87,18,SA_Tri,1,1
34,2010-01-11 08:00:00+08:00,{B9CEAA50-AF40-47C5-AFF4-300D3FBF84CD},Olmsted Triangle,87,18,SA_Tri,1,1
26,2010-01-11 08:00:00+08:00,{6DA5534B-5936-45B3-BF19-9F2926D431C2},I L Peretz Square-Greenstreet,65,1,,1,1
11,1997-12-01 08:00:00+08:00,{556950E0-21BA-4602-B0EB-C70292E8DC27},Greenstreet,24,23,Greenstreet,2,1
11,2000-12-01 08:00:00+08:00,{96AD5B23-DD56-41DA-AFDF-47323D875D85},Greenstreet,24,24,Greenstreet,1,2
16,2009-02-24 08:00:00+08:00,{B9EE529F-470C-4537-ABDB-CBB659087A32},Handball Haven,35,21,SA_Tri,4,1
13,1999-06-01 08:00:00+08:00,{8B8F30BC-3D15-460A-B982-AB127C3707A6},Greenstreet,35,21,Greenstreet,3,1
13,2009-02-24 08:00:00+08:00,{3FF1B029-D966-4E2E-B23A-768FDC201093},Flushing Meadows Park-Greenstreet,35,21,,3,1
13,2000-06-01 08:00:00+08:00,{53F25638-8C67-43EC-A436-6D5C9A75A8C7},Greenstreet,35,21,,3,1
16,1997-06-01 08:00:00+08:00,{2875EE78-85D7-4203-8551-CE77A79E3804},Greenstreet,35,25,Greenstreet,1,2
12,2001-06-01 08:00:00+08:00,{D0712E7D-0FAB-4A51-8E42-153C0ADDD317},Greenstreet,37,26,,1,1
12,1999-06-01 08:00:00+08:00,{9149CDBF-6D28-4E7E-B996-1BE29D11EA2C},Greenstreet,37,26,TreeOnlyMed,1,1
17,2010-01-11 08:00:00+08:00,{5F59E8CD-1C3E-44A3-826A-06D45A252E14},GREENSTREET-Flatbush Malls,"44, 42",45,Greenstreet,1,1
17,2010-01-11 08:00:00+08:00,{67FAA13F-19D5-46E9-BD42-FF7E05D2F4A4},GREENSTREET-Flatbush Malls,"44, 42",45,Greenstreet,1,1
20,2014-09-04 08:00:00+08:00,{9E8B6B83-A6A6-45C3-9ACF-61D555C83203},"Vanderbilt Av Pedestrian Refuges, Park to Dean",57,35,Ped_Ref,1,1
29,2010-01-11 08:00:00+08:00,{CEFFE243-DECC-4064-9FD5-E8E44C9BBB1B},University Malls,77,16,,2,1
13,2001-06-01 08:00:00+08:00,{D96FD567-04D7-47CF-8693-4221C77D300D},Greenstreet,"35, 39",21,Greenstreet,3,1
33,2010-01-11 08:00:00+08:00,{213C4E01-C393-4696-BC07-01079B79C6BE},"Jerome Avenue, Parkview Terrace, and Morris Avenue",78,15,Greenstreet,2,1
21,2010-01-11 08:00:00+08:00,{B9EB1277-8E93-4CC5-9F1E-779039917084},Park-Greenstreet,52,38,SA_Tri,1,1
27,2008-12-01 08:00:00+08:00,{50421325-A4B5-43D7-8678-679F200442CB},9th Avenue - 23rd st to 31 st,75,3,Ped_Ref,1,1
36,2010-01-11 08:00:00+08:00,{11466149-FD4E-4093-A48C-ABF3C4D9EDD9},Greenstreet,80,13,,1,1
34,2010-01-11 08:00:00+08:00,{D0B67972-B96E-4AA8-844C-CB9B576C423D},Greenstreet,80,13,Greenstreet,2,1
15,1999-06-01 08:00:00+08:00,{0D4D2ED9-9370-463A-8F15-5E12A03C0F91},Greenstreet,23,32,,1,1
