license_number,license_number_1,phone,phone_1,year_base_opened,total_fatal_crashes
B00290,B00290,718-507-6363,718-507-6363,1999.0,0.0
B01976,B01976,516-741-1515,516-741-1515,2002.0,0.0
B01741,B01741,718-230-0202,718-230-0202,1997.0,0.0
B01492,B01492,718-383-8300,718-383-8300,1998.0,0.0
B01336,B01336,718-232-3434,718-232-3434,1996.0,0.0
B00992,B00992,718-777-5555,718-777-5555,1997.0,0.0
B00889,B00889,718-446-8700 or 718-446-8793,718-446-8700 or 718-446-8793,1991.0,0.0
B02536,B02536,718-703-3333,718-703-3333,2012.0,0.0
B02569,B02569,212-364-2000,212-364-2000,2012.0,0.0
B00837,B00837,718-898-1000,718-898-1000,2000.0,0.0
B02050,B02050,718-845-0577,718-845-0577,2003.0,0.0
B01854,B01854,201-477-3200,201-477-3200,1999.0,0.0
B00029,B00029,718-881-0707,718-881-0707,1997.0,0.0
B00078,B00078,718-585-8500,718-585-8500,1986.0,0.0
B02113,B02113,212-647-8400,212-647-8400,2005.0,0.0
B00919,B00919,212-663-8080,212-663-8080,1997.0,0.0
B01083,B01083,212-304-8080,212-304-8080,1997.0,0.0
B02800,B02800,646-844-6564,646-844-6564,2014.0,0.0
B00373,B00373,718-773-0020,718-773-0020,1997.0,0.0
B02429,B02429,718-703-3333,718-703-3333,2010.0,0.0
B02865,B02865,646-665-7536,646-665-7536,2015.0,0.0
B01406,B01406,718-788-1234,718-788-1234,1997.0,0.0
B02067,B02067,212-629-8000,212-629-8000,2004.0,0.0
B00111,B00111,718-482-8585,718-482-8585,1999.0,0.0
B02662,B02662,917-903-0829,917-903-0829,2013.0,0.0
B02420,B02420,718-633-4800,718-633-4800,2010.0,0.0
B01236,B01236,718-746-4670,718-746-4670,1981.0,0.0
B01268,B01268,718-442-0022,718-442-0022,1997.0,0.0
B02518,B02518,718-424-1250,718-424-1250,2011.0,0.0
B01912,B01912,718-472-1000,718-472-1000,2000.0,0.0
B01051,B01051,718-328-1111,718-328-1111,1999.0,0.0
B02845,B02845,718-888-0402,718-888-0402,2015.0,0.0
B02382,B02382,718-743-8042,718-743-8042,2010.0,0.0
B02882,B02882,646-665-7473,646-665-7473,2015.0,0.0
B02772,B02772,347-666-6666,347-666-6666,2014.0,0.0
B02457,B02457,718-651-1166,718-651-1166,2011.0,0.0
B02639,B02639,917-500-4381,917-500-4381,2013.0,0.0
B02707,B02707,718-544-4444,718-544-4444,2013.0,0.0
