code1,t4_code1,t4_fax_number,fax_number,program1,method1,category,count,avg_value,total_value,max_value
X20B,X20B,718-584-5102,718-584-5102,Instrumental Music,Audition,High Demand,1,65.0,65.0,65.0
R19A,R19A,718-556-4800,718-556-4800,Software Engineering Institute,Open,High Demand,1,316.0,316.0,316.0
Q20A,Q20A,718-746-2017,718-746-2017,Jacob K. Javits Law Institute,Ed. Opt.,High Demand,1,2719.0,2719.0,2719.0
Q38K,Q38K,718-217-6287,718-217-6287,STEM Institute for Science Research,Screened,High Demand,1,296.0,296.0,296.0
K69B,K69B,718-647-4458,718-647-4458,Computer Forensic Science and Technology,Ed. Opt.,High Demand,1,153.0,153.0,153.0
