control_no,total_failure_to_file_amt,bin,house_no,filing_type
917408,0.0,1090180,217,Auto-Generated
913694,0.0,1087266,225,Auto-Generated
814253,0.0,3154983,20,Auto-Generated
806826,10000.0,1059716,556,Initial
807710,0.0,2091966,735,Auto-Generated
806361,0.0,1079356,840,Auto-Generated
909067,5000.0,3001482,122,Auto-Generated
903183,0.0,1024811,1648,Auto-Generated
913996,2000.0,2002852,1240,Auto-Generated
808096,10000.0,2015481,3980,Auto-Generated
913422,0.0,1090668,155,Auto-Generated
814345,1000.0,4536854,137-07,Auto-Generated
901895,14000.0,1015200,108,Auto-Generated
709737,0.0,3326947,109,Amended
906155,25000.0,1053397,3,Auto-Generated
809632,3000.0,3338423,29,Auto-Generated
802365,5000.0,1016287,44,Auto-Generated
809661,10000.0,3342263,160,Auto-Generated
814133,6000.0,1087657,18,Auto-Generated
803319,78000.0,1081701,400,Auto-Generated
911776,5000.0,4301620,1925,Auto-Generated
903595,0.0,1030378,228,Initial
806053,0.0,1083461,210,Auto-Generated
701504,0.0,1088885,355,Initial
805723,1000.0,1048574,222,Auto-Generated
707988,5000.0,2013018,780,Auto-Generated
810020,12000.0,3324228,207,Auto-Generated
803784,11000.0,1031763,117,Auto-Generated
914907,0.0,1090448,303,Auto-Generated
903894,1000.0,1033133,2350,Auto-Generated
805131,30000.0,1043215,120,Auto-Generated
814311,112000.0,4533965,136-16,Auto-Generated
908087,5000.0,2015403,2835,Auto-Generated
802530,1000.0,1017588,270,Auto-Generated
905305,0.0,1045287,406,Auto-Generated
903127,0.0,1023750,919,Auto-Generated
808654,12000.0,2051297,2515,Auto-Generated
813925,5000.0,2114693,950,Auto-Generated
918595,20000.0,3396505,162,Auto-Generated
904726,0.0,1039990,322,Amended
901536,0.0,1013553,330,Auto-Generated
809148,0.0,3002548,186,Auto-Generated
810603,0.0,4430798,3-10,Auto-Generated
908104,5000.0,2015581,2857,Auto-Generated
703475,5000.0,1087637,411,Auto-Generated
804125,5000.0,1081126,59,Amended
908880,1000.0,2084073,3299,Auto-Generated
916870,7000.0,2057437,3764,Auto-Generated
807611,0.0,2003060,1105,Auto-Generated
808368,0.0,2092911,1435,Auto-Generated
