dbn,total_programs_per_school
17K122,1.0
02M399,1.0
28Q328,1.0
19K764,1.0
32K545,1.0
15K462,1.0
27Q324,2.0
12X479,1.0
02M425,2.0
02M308,2.0
15K656,5.0
12X478,1.0
02M529,1.0
08X348,1.0
05M362,1.0
10X141,1.0
30Q445,5.0
29Q248,1.0
02M531,1.0
21K620,5.0
08X282,1.0
