t1_location_name,location_code,t1_system_code,t2_system_code,t2_principal_name,t3_location_code,t4_location_name,t5_principal_name,record_count,total_amount,avg_amount,max_amount,min_amount
P.S. 115 Daniel Mucatel School,K115,331800010115,331800010115,JONATHAN LEE,K115,P.S. 115 Daniel Mucatel School,JONATHAN LEE,1,331800010115.0,331800010115.0,331800010115,331800010115
South Bronx Preparatory: A College Board School,X221,320700011221,320700011221,ELLEN FLANAGAN,X221,South Bronx Preparatory: A College Board School,ELLEN FLANAGAN,1,320700011221.0,320700011221.0,320700011221,320700011221
South Bronx Charter School for International Cultu,X309,320700860889,320700860889,Evelyn Hey,X309,South Bronx Charter School for International Cultu,Evelyn Hey,1,320700860889.0,320700860889.0,320700860889,320700860889
P.S. 043 Jonas Bronck,X043,320700010043,320700010043,DR. GIOVANNA DELUCCHI,X043,P.S. 043 Jonas Bronck,DR. GIOVANNA DELUCCHI,1,320700010043.0,320700010043.0,320700010043,320700010043
P.S. 155 William Paca,M155,310400010155,310400010155,MARCIA SULIT,M155,P.S. 155 William Paca,MARCIA SULIT,1,310400010155.0,310400010155.0,310400010155,310400010155
P.S. 123 Mahalia Jackson,M123,310500010123,310500010123,Melitina Hernandez,M123,P.S. 123 Mahalia Jackson,Melitina Hernandez,1,310500010123.0,310500010123.0,310500010123,310500010123
Brooklyn Prospect Charter School,K707,331500860935,331500860935,Carolyn Michael/Ingrid Wong,K707,Brooklyn Prospect Charter School,Carolyn Michael/Ingrid Wong,1,331500860935.0,331500860935.0,331500860935,331500860935
Mott Hall High School,M304,310500011304,310500011304,Altagracia Villalona,M304,Mott Hall High School,Altagracia Villalona,1,310500011304.0,310500011304.0,310500011304,310500011304
P.S. 306,X306,321000010306,321000010306,DARRYL HARRINGTON,X306,P.S. 306,DARRYL HARRINGTON,1,321000010306.0,321000010306.0,321000010306,321000010306
Success Academy Charter School - Bronx 4 - New Yor,X464,320800861074,320800861074,Shea Reeder,X464,Success Academy Charter School - Bronx 4 - New Yor,Shea Reeder,1,320800861074.0,320800861074.0,320800861074,320800861074
The Hunts Point School,X424,320800010424,320800010424,DAVID VAZQUEZ,X424,The Hunts Point School,DAVID VAZQUEZ,1,320800010424.0,320800010424.0,320800010424,320800010424
Brooklyn Theatre Arts High School,K567,331800011567,331800011567,DAVID WARD,K567,Brooklyn Theatre Arts High School,DAVID WARD,1,331800011567.0,331800011567.0,331800011567,331800011567
Bronx Center for Science and Mathematics,X260,320900011260,320900011260,EDWARD TOM,X260,Bronx Center for Science and Mathematics,EDWARD TOM,32,10268800360320.0,320900011260.0,320900011260,320900011260
P.S. 025 Eubie Blake School,K025,331600010025,331600010025,ANITA COLEY,K025,P.S. 025 Eubie Blake School,ANITA COLEY,1,331600010025.0,331600010025.0,331600010025,331600010025
University Neighborhood High School,M448,310100011448,310100011448,Matthew Willie,M448,University Neighborhood High School,Matthew Willie,1,310100011448.0,310100011448.0,310100011448,310100011448
Bronx Charter School for Excellence 3,X589,321100861115,321100861115,CHARLENE REID/Charlton Clarke,X589,Bronx Charter School for Excellence 3,CHARLENE REID/Charlton Clarke,1,321100861115.0,321100861115.0,321100861115,321100861115
P.S. X114 - Luis Llorens Torres Schools,X114,320900010114,320900010114,OLIVIA FRANCIS WEBBER,X114,P.S. X114 - Luis Llorens Torres Schools,OLIVIA FRANCIS WEBBER,1,320900010114.0,320900010114.0,320900010114,320900010114
Tompkins Square Middle School,M839,310100010839,310100010839,SONHANDO ESTWICK,M839,Tompkins Square Middle School,SONHANDO ESTWICK,1,310100010839.0,310100010839.0,310100010839,310100010839
P.S. 181 Brooklyn,K181,331700010181,331700010181,Victor Esannason,K181,P.S. 181 Brooklyn,Victor Esannason,1,331700010181.0,331700010181.0,331700010181,331700010181
J.H.S. 080 The Mosholu Parkway,X080,321000010080,321000010080,Emmanuel Polanco,X080,J.H.S. 080 The Mosholu Parkway,Emmanuel Polanco,2,642000020160.0,321000010080.0,321000010080,321000010080
DREAM Charter School,M382,310400860919,310400860919,Eve Colavito/Kara Brockett,M382,DREAM Charter School,Eve Colavito/Kara Brockett,1,310400860919.0,310400860919.0,310400860919,310400860919
J.H.S. 167 Robert F. Wagner,M167,310200010167,310200010167,Jennifer Rehn,M167,J.H.S. 167 Robert F. Wagner,Jennifer Rehn,1,310200010167.0,310200010167.0,310200010167,310200010167
P.S. 024,K024,331500010024,331500010024,JACQUELINE NIKOVIC,K024,P.S. 024,JACQUELINE NIKOVIC,1,331500010024.0,331500010024.0,331500010024,331500010024
New York French American Charter School,M483,310300860963,310300860963,Marc Maurice,M483,New York French American Charter School,Marc Maurice,1,310300860963.0,310300860963.0,310300860963,310300860963
The Laboratory School of Finance and Technology: X,X223,320700010223,320700010223,DR. RAMON GONZALEZ,X223,The Laboratory School of Finance and Technology: X,DR. RAMON GONZALEZ,1,320700010223.0,320700010223.0,320700010223,320700010223
P.S. 138,M138,307500011138,307500011138,Gregg Soulette,M138,P.S. 138,Gregg Soulette,1,307500011138.0,307500011138.0,307500011138,307500011138
