issuing_agency,ticket_count,violation_borough,compliance_status,hearing_status
SANITATION OTHERS,1,QUEENS,Penalty Due,NEW ISSUANCE
DEPT. OF BUILDINGS,4,QUEENS,Penalty Due,NEW ISSUANCE
SANITATION VENDOR ENFORCEMENT,1,QUEENS,All Terms Met,PAID IN FULL
DEPT OF TRANSPORTATION,24,BROOKLYN,Penalty Due,NEW ISSUANCE
SANITATION VENDOR ENFORCEMENT,2,BRONX,Penalty Due,NEW ISSUANCE
SANITATION POLICE,1,QUEENS,All Terms Met,PAID IN FULL
SANITATION VENDOR ENFORCEMENT,3,QUEENS,Penalty Due,NEW ISSUANCE
