providername,opendateiso,s1,notes,l1,mappedaddress,fridayopen,amendedreturn
Food Bank For New York City,2019-01-28,Drop Off,,English,"""228 York Street, Brooklyn NY, 11201""",11:00 AM,True
Food Bank For New York City,2019-01-28,In Person,To make an appointment go to https://www.foodbanknyc.org/taxhelp.ÿ,"""English, Spanish""","""45 Wadsworth Avenue, Manhattan NY, 10033""",9:00 AM,True
Food Bank For New York City,2019-01-28,Assisted Self-Preparation,,English,"""1866 Washington Avenue, Bronx NY, 10457""",10:00 AM,False
AARP Tax Aide,2019-01-29,In Person,"""First come, first served.  We will stop accepting taxpayers when we have reached capacity""","""English, Spanish""","""238 Bleecker Street, Manhattan NY, 10014""",,True
Grow Brooklyn,2019-01-23,"""In Person, Drop Off""","""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment """,English,"""451 Clarkson Ave, Brooklyn NY, 11203""",11:00 AM,True
Grow Brooklyn,2019-01-22,"""In Person, Drop Off""","""www.growbrooklyn.org/taxes- By Appointment Only -  no walk-ins --- Only 2018 returns in February; prior years will be done  in March and April*  Due to space limitations, please do not arrrive more than 15 minutes before your appointment ""","""English, Spanish, Russian""","""2401 Avenue U,, Brooklyn NY, 11229""",,True
MMCC,2019-01-11,"""In Person, Drop Off""",,"""English, Spanish""","""1150 EAST 229 STREET, Bronx NY, 10466""",,True
Urban Upbound,2019-02-06,In Person,,"""English, Spanish""","""43-31 39th Street, Queens NY, 11104""",,True
