property_name,t3_property_name,latitude,longitude,t5_latitude,t5_longitude,green_power_onsite_and_offsite,indirect_ghg_emissions,total_ghg_emissions_intensity
K989-0301732,K989-0301732,40.619931,-74.028086,40.619931,-74.028086,0,3.6,8.7
Q038-0400036,Q038-0400036,40.671561,-73.734043,40.671561,-73.734043,0,1.3,7.6
Q111-0400098,Q111-0400098,40.758831,-73.93938,40.758831,-73.93938,0,1.3,4.5
X074-0200112,X074-0200112,40.815455,-73.88577,40.815455,-73.88577,0,2.0,5.4
K135-0300142,K135-0300142,40.65364,-73.933114,40.65364,-73.933114,0,1.4,6.4
K209-0300212,K209-0300212,40.586845,-73.96198,40.586845,-73.96198,0,1.2,4.8
K026-0300051,K026-0300051,40.69211,-73.931857,40.69211,-73.931857,0,1.1,2.8
Q127-0400113,Q127-0400113,40.764646,-73.871641,40.764646,-73.871641,0,1.3,5.3
1155,1155,40.756631,-73.982826,40.756631,-73.982826,0,4.0,4
M140-0100125,M140-0100125,40.71925,-73.983056,40.71925,-73.983056,0,1.2,3.4
K095-0300106,K095-0300106,40.595698,-73.97518,40.595698,-73.97518,0,1.4,5.6
X048-0200085,X048-0200085,40.814425,-73.886953,40.814425,-73.886953,0,1.1,6
K151-0300153,K151-0300153,40.693293,-73.90864,40.693293,-73.90864,0,1.3,5.2
K615-0300350,K615-0300350,40.678276,-73.87596,40.678276,-73.87596,0,1.4,5.7
K044-0300066,K044-0300066,40.686592,-73.940747,40.686592,-73.940747,0,1.3,3.5
Q048-0400043,Q048-0400043,40.694119,-73.797003,40.694119,-73.797003,0,1.4,4.9
Q207-0400179,Q207-0400179,40.658089,-73.844432,40.658089,-73.844432,0,1.0,2.8
RIVERDALE (1798),RIVERDALE (1798),40.873644,-73.907962,40.873644,-73.907962,0,5.1,6.1
X127-0200170,X127-0200170,40.837931,-73.853524,40.837931,-73.853524,0,1.5,6.2
K217-0300221,K217-0300221,40.63398,-73.966558,40.63398,-73.966558,0,2.2,5.6
X060-0200095,X060-0200095,40.820403,-73.898912,40.820403,-73.898912,0,0.9,3.7
Court Square Place,Court Square Place,40.748206,-73.943731,40.748206,-73.943731,3702250,3.9,5
K306-0300301,K306-0300301,40.655997,-73.886547,40.655997,-73.886547,0,1.3,6.3
200,200,40.750698,-73.974306,40.750698,-73.974306,0,7.2,7.2
51 Madison,51 Madison,40.743023,-73.986402,40.743023,-73.986402,0,5.7,5.7
909 Third Avenue,909 Third Avenue,40.758744,-73.968618,40.758744,-73.968618,0,5.4,5.4
K100-0300111,K100-0300111,40.57732,-73.971313,40.57732,-73.971313,0,1.0,5.8
K104-0300114,K104-0300114,40.618415,-74.028842,40.618415,-74.028842,0,1.3,4.6
K321-0300309,K321-0300309,40.67146,-73.977783,40.67146,-73.977783,0,1.5,4.4
X040-0200076,X040-0200076,40.809534,-73.919903,40.809534,-73.919903,0,1.2,3.3
X138-0200182,X138-0200182,40.822665,-73.853366,40.822665,-73.853366,0,1.4,6.3
K175-0300178,K175-0300178,40.665878,-73.911705,40.665878,-73.911705,0,1.3,4.8
K247-0300250,K247-0300250,40.612273,-73.986713,40.612273,-73.986713,0,2.1,4.6
X087-0200127,X087-0200127,40.895104,-73.845968,40.895104,-73.845968,0,1.6,4.4
M108-0100099,M108-0100099,40.795146,-73.948368,40.795146,-73.948368,0,0.9,4.3
Q169-0400153,Q169-0400153,40.782298,-73.779099,40.782298,-73.779099,0,1.2,5.3
Q196-0400172,Q196-0400172,40.722782,-73.837946,40.722782,-73.837946,0,2.3,5.3
R020-0500043,R020-0500043,40.636598,-74.132919,40.636598,-74.132919,0,2.2,7
X090-0200131,X090-0200131,40.831992,-73.91796,40.831992,-73.91796,0,1.3,4.8
X131-0200174,X131-0200174,40.823526,-73.859662,40.823526,-73.859662,190717.3,1.0,2.5
X166-0200207,X166-0200207,40.828696,-73.917668,40.828696,-73.917668,0,1.5,5
X460-0201311,X460-0201311,40.827607,-73.918681,40.827607,-73.918681,0,4.9,7
K015-0300019,K015-0300019,40.677343,-74.011558,40.677343,-74.011558,0,1.3,3.6
K430-0300346,K430-0300346,40.688834,-73.976905,40.688834,-73.976905,0,1.2,6.6
NE - 111 WALL STREET,NE - 111 WALL STREET,40.704553,-74.006636,40.704553,-74.006636,0,5.3,5.3
X171-0201229,X171-0201229,40.841596,-73.897767,40.841596,-73.897767,0,3.0,5.9
K227-0300232,K227-0300232,40.62191,-73.995022,40.62191,-73.995022,0,1.3,3.9
Q012-0400012,Q012-0400012,40.742633,-73.892805,40.742633,-73.892805,0,2.7,6.3
Q816-0401635,Q816-0401635,40.577026,-73.854539,40.577026,-73.854539,0,1.2,6
