city_council_district,primary_fuel,total,count,average
3,#4,189168.04,25,7566.721600000001
1,#6,80071.88,3,26690.626666666667
6,#4,50962.6,3,16987.533333333333
4,#6,29083.2,2,14541.6
3,#6,27898.17,6,4649.695
1,#4,17318.85,3,5772.95
2,#6,16818.75,2,8409.375
2,#4,16243.99,2,8121.995
6,#6,13994.1,1,13994.1
10,#4,11440.0,2,5720.0
4,#4,6898.5,1,6898.5
14,#6,3161.93,1,3161.93
