bin,total_failure_to_file_amt,filing_type,submitted_on
1043215,30000.0,Auto-Generated,
1079356,0.0,Auto-Generated,
4430798,0.0,Auto-Generated,
1090668,0.0,Auto-Generated,
1083461,0.0,Auto-Generated,
3324228,12000.0,Auto-Generated,
1024811,0.0,Auto-Generated,
1059716,10000.0,Initial,2018-10-31
1088885,0.0,Initial,2013-06-20
1039990,0.0,Amended,2025-11-24
3326947,0.0,Amended,2016-05-31
3338423,3000.0,Auto-Generated,
1015200,14000.0,Auto-Generated,
1017588,1000.0,Auto-Generated,
4536854,1000.0,Auto-Generated,
1016287,5000.0,Auto-Generated,
2015581,5000.0,Auto-Generated,
2015403,5000.0,Auto-Generated,
1030378,0.0,Initial,2023-11-28
2013018,5000.0,Auto-Generated,
4301620,5000.0,Auto-Generated,
2114693,5000.0,Auto-Generated,
1053397,25000.0,Auto-Generated,
1013553,0.0,Auto-Generated,
1090448,0.0,Auto-Generated,
1023750,0.0,Auto-Generated,
3154983,0.0,Auto-Generated,
2003060,0.0,Auto-Generated,
1048574,1000.0,Auto-Generated,
1031763,11000.0,Auto-Generated,
2084073,1000.0,Auto-Generated,
2092911,0.0,Auto-Generated,
3001482,5000.0,Auto-Generated,
2051297,12000.0,Auto-Generated,
2002852,2000.0,Auto-Generated,
4533965,112000.0,Auto-Generated,
1045287,0.0,Auto-Generated,
1081126,5000.0,Amended,2019-09-03
3396505,20000.0,Auto-Generated,
1087266,0.0,Auto-Generated,
1087637,5000.0,Auto-Generated,
1081701,78000.0,Auto-Generated,
2015481,10000.0,Auto-Generated,
1090180,0.0,Auto-Generated,
3342263,10000.0,Auto-Generated,
1087657,6000.0,Auto-Generated,
1033133,1000.0,Auto-Generated,
2091966,0.0,Auto-Generated,
2057437,7000.0,Auto-Generated,
3002548,0.0,Auto-Generated,
