fax_number,fax_number_1,program1,academicopportunities1,method1,total_grade9_ge_applicants
718-658-1613,718-658-1613,Hillside Arts & Letters Academy,"Art, Music, Writing, Advisory Classes, Lifeguard Certification, College/Career Counseling, SAT Prep, CUNY College Now, & Regents Prep",Ed. Opt.,
718-746-2017,718-746-2017,Jacob K. Javits Law Institute,iLearnNYC: Program for expanded online coursework and self-paced learning,Ed. Opt.,2719.0
718-556-4800,718-556-4800,Software Engineering Institute,International Baccalaureate (IB): Curtis HS is authorized by the IB Organization to offer the Diploma Programme.,Open,316.0
718-931-8366,718-931-8366,Academy for Excellence,Saturday Regents prep; PM school; Saturday school; PSAT/SAT Prep Courses; Academic Lunch Club,Ed. Opt.,
718-696-3821,718-696-3821,The Bronxwood Preparatory Academy,"Saturday academy for tutoring, program for expanded online coursework and self-paced learning",Ed. Opt.,
718-620-2561,718-620-2561,The Cinema School,Four-Year cinema studies curriculum in narrative filmmaking,Screened,
718-295-3655,718-295-3655,College and University Transitional Seminar,Academic programs are humanities-based and aligned to Common Core standards which ensure that students are prepared for college and university life.,Screened,
212-225-0996,212-225-0996,The Urban Assembly School for Emergency Management,"Emergency Medicine Pathway: free CUNY college credit and Emergency Medical Technician (EMT) certification, driver's training program, and preferential hiring with a hospital partner and the FDNY",Ed. Opt.,
718-893-5982,718-893-5982,Bronx Studio School for Writers and Artists,"Character Development: advisory, career development/occupational studies, leadership elevate, peer group connection (PGC Leaders), global leadership",Ed. Opt.,
718-584-5102,718-584-5102,Instrumental Music,"Chancellor's Endorsed Diploma in Five Arts Studios- Drama, Dance (including hip hop), Instrumental Music (Jazz at Lincoln Center curriculum), Vocal Music, & Visual Arts",Audition,65.0
718-342-6329,718-342-6329,Metropolitan Diploma Plus High School,The Learning to Work partner for Metropolitan Diploma Plus High School is New York City Mission Society.,Transfer,
718-217-6287,718-217-6287,STEM Institute for Science Research,Our Pre-Med students take a rigorous slate of Honors and AP STEM classes while interning at prestigious universities and health facilities,Screened,296.0
212-524-4365,212-524-4365,The Clinton School,"""IB for All""-11th and 12th grade Clintonians take three higher level and three standard level International Baccalaureate courses.",Screened,
917-441-3693,917-441-3693,Arts & Technology,Spanish-LOTE,Ed. Opt.,
718-561-8707,718-561-8707,Digital Media/Recording Entertainment Technology,Students graduate with Career and Technical Education Diploma,Screened: Language,
718-647-4458,718-647-4458,Computer Forensic Science and Technology,"FRC/FTC, Robotics, Justice Resource Center (JRC) partnership provides course pathways in Law Enforcement, AVID college- and career-readiness program",Ed. Opt.,153.0
718-696-6030,718-696-6030,Bronx Aerospace High School,The Aviation program teaches the engineering and aerodynamics involved in flying aircrafts to complete Ground School and pass the FAA Written Exam,Ed. Opt.,
718-570-8231,718-570-8231,Epic High School - North,Culturally relevant practices; Blended instruction with both teacher-led classes and use of digital resources; Real-world problem-based learning,Ed. Opt.,
718-294-8109,718-294-8109,Comprehensive Model School Project (CMSP),After-School and Saturday Tutoring,Open,
718-333-7675,718-333-7675,Sport Management,"Sports Management Executive Leadership, Business of Sport Journal, Student Leadership Council, Event Planning of PSAL Sporting Events.",Ed. Opt.,
718-488-1724,718-488-1724,Khalil Gibran International Academy,iLearnNYC: Program for expanded online coursework and self-paced learning,Ed. Opt.,
