building_address_with_zip,total_tax_lot
"1133 SIXTH AVENUE, New York, NY 10036",29.0
"200 EAST 24 STREET, New York, NY 10010",50.0
"1211 SIXTH AVENUE, New York, NY 10036",29.0
"201 WEST 70 STREET, New York, NY 10023",29.0
"171 EAST 84 STREET, New York, NY 10028",7501.0
"175 EAST 96 STREET, New York, NY 10128",33.0
"212 EAST 47 STREET, New York, NY 10017",7506.0
"733 PARK AVENUE, New York, NY 10021",72.0
"141 EAST 48 STREET, New York, NY 10017",7501.0
"222 EAST 39 STREET, New York, NY 10016",42.0
"353 EAST 83 STREET, New York, NY 10028",23.0
"422 EAST 72 STREET, New York, NY 10021",7501.0
"300 EAST 62 STREET, New York, NY 10065",7501.0
"1 PENNSYLVANIA PLAZA, New York, NY 10119",70.0
"212 EAST 42 STREET, New York, NY 10017",44.0
"108 FIFTH AVENUE, New York, NY 10011",7501.0
"401 EAST 34 STREET, New York, NY 10016",1.0
"1633 BROADWAY, New York, NY 10019",43.0
