building_manager,total_fuel_usage,building_manager_1,borough_block_lot,borough_block_lot_1,total_units,of_res_units
77 PARK AVE. CONDOMINIUM,168356.0,77 PARK AVE. CONDOMINIUM,1008947501,1008947501,106,106
JENEL MANAGMENT,50820.0,JENEL MANAGMENT,1008690064,1008690064,18,0
130 WEST 57 STREET CO,45990.0,130 WEST 57 STREET CO,1010090046,1010090046,85,10
MANCHESTER WEST 36 LLC,56575.0,MANCHESTER WEST 36 LLC,1007860013,1007860013,15,0
BROCROS REALTY,14500.0,BROCROS REALTY,1005110016,1005110016,24,0
"TUR,JOSE",21900.0,"TUR,JOSE",1021570081,1021570081,30,30
ESTATE OF EDWIN S. LOWE/CHASE MAN,82125.0,ESTATE OF EDWIN S. LOWE/CHASE MAN,1008290016,1008290016,22,0
ENF. 11/20/92,26280.0,ENF. 11/20/92,1001450012,1001450012,6,0
MARTIN BAUMRIND,26953.0,MARTIN BAUMRIND,1010750044,1010750044,10,10
MOSHE GLICKMAN,59447.0,MOSHE GLICKMAN,1011620141,1011620141,37,37
WEST 63 EMPIRE ASSOCIATES LLC,93294.0,WEST 63 EMPIRE ASSOCIATES LLC,1011150057,1011150057,7,0
ELO EQUITIES LLC,24500.0,ELO EQUITIES LLC,1009990009,1009990009,2,0
MARTY MYERS/EDWIN,21000.0,MARTY MYERS/EDWIN,1007977502,1007977502,23,22
WASSERSTEIN BROS,52871.0,WASSERSTEIN BROS,1007600055,1007600055,28,0
470P.A.ASSOC/S.L.GREEN MG,73913.0,470P.A.ASSOC/S.L.GREEN MG,1008610044,1008610044,31,0
T.U.C. MANAGEMENT CO.INC.,14746.0,T.U.C. MANAGEMENT CO.INC.,1008910062,1008910062,31,31
ONE HUDSON PARK INC,75555.0,ONE HUDSON PARK INC,1001440001,1001440001,33,25
GVA WILLIAMS REAL ESTATE CO.,16470.0,GVA WILLIAMS REAL ESTATE CO.,1008010014,1008010014,13,0
CHURCH MANAGEMENT,168356.0,CHURCH MANAGEMENT,1008687502,1008687502,229,224
110 W.40 JOINT VENTURE,57720.0,110 W.40 JOINT VENTURE,1008150039,1008150039,114,0
CHARLES STREET ASSOCIATES,23360.0,CHARLES STREET ASSOCIATES,1006110045,1006110045,19,18
MIRANDA REALTY ASSOC.,86140.0,MIRANDA REALTY ASSOC.,1007790049,1007790049,46,7
MURRAY HILL OWNERS CO.,57232.0,MURRAY HILL OWNERS CO.,1008910023,1008910023,35,35
REAL ESTATE INDUSTRIAL INC.,78840.0,REAL ESTATE INDUSTRIAL INC.,1010770043,1010770043,3,0
162 ASSOCIATES LLCC/O MUTRRY HILL,49056.0,162 ASSOCIATES LLCC/O MUTRRY HILL,1008230037,1008230037,7,0
CHARLES H. GREENTHAL,269969.0,CHARLES H. GREENTHAL,1011380001,1011380001,376,376
ONE FIFTH AVE APT/INSIGNIA RESIDENT,328500.0,ONE FIFTH AVE APT/INSIGNIA RESIDENT,1005500022,1005500022,200,198
OUR LADY OF POMPEI R.C.CHURCH,37800.0,OUR LADY OF POMPEI R.C.CHURCH,1005860020,1005860020,4,0
HELMSLEY SPEAR INC.,120085.0,HELMSLEY SPEAR INC.,1007870025,1007870025,19,0
JEFFREY MANAGEMENT,205312.0,JEFFREY MANAGEMENT,1001710001,1001710001,68,0
DEZER PROPERTIES,33375.0,DEZER PROPERTIES,1008220015,1008220015,1,0
12 E 12 STREET CONDO,38115.0,12 E 12 STREET CONDO,1005697501,1005697501,27,26
CARL S YOUNG,54896.0,CARL S YOUNG,1022020033,1022020033,72,72
HUNTER COLLEGE,0.0,HUNTER COLLEGE,1010500006,1010500006,0,0
R.G.A. AGENT/38 WEST 32 ASSOCIATES,66000.0,R.G.A. AGENT/38 WEST 32 ASSOCIATES,1008330018,1008330018,76,0
LEE KWAN CHAH,14800.0,LEE KWAN CHAH,1010120032,1010120032,25,0
THREE O REALTY LLC,40824.0,THREE O REALTY LLC,1010127501,1010127501,58,0
RANDAL HSE. OWNERS % AKAM ASSOC.,82125.0,RANDAL HSE. OWNERS % AKAM ASSOC.,1005617501,1005617501,235,229
CAPITAL BUILDING LOFT CORP.,33600.0,CAPITAL BUILDING LOFT CORP.,1007750060,1007750060,43,0
29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,25800.0,29 W. 36TH ST. LLC % BERSTEIN R.E. CO.,1008380024,1008380024,14,0
CONCOURSE MGMT/BLDG MGMT INC.,29200.0,CONCOURSE MGMT/BLDG MGMT INC.,1010180061,1010180061,0,0
PR 30 LLC,21681.0,PR 30 LLC,1007540028,1007540028,12,12
NEW BEDFORD MGMT,54604.0,NEW BEDFORD MGMT,1007710038,1007710038,133,130
PARISH OF TRINITY CHURCH,41063.0,PARISH OF TRINITY CHURCH,1002270063,1002270063,0,0
55 PARK TENANTS CORP.,32850.0,55 PARK TENANTS CORP.,1008930002,1008930002,33,32
MOCAL ENTERPRISES INC.,81304.0,MOCAL ENTERPRISES INC.,1008310064,1008310064,100,0
227 TENANTS CORP.,19856.0,227 TENANTS CORP.,1011960035,1011960035,22,22
"LEIST,FRED",21079.0,"LEIST,FRED",2028070070,2028070070,67,67
"CHELSEA 25, LLC",44457.0,"CHELSEA 25, LLC",1007750017,1007750017,69,69
119 FIFTH AVE.CORP.,29740.0,119 FIFTH AVE.CORP.,1008480001,1008480001,9,2
