fact_column,total_applications,dimension_column1,dimension_column2,dimension_column3
BUSINESS,8,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/03/2017 00:00:00
BUSINESS,2,J,PLAN EXAM - DISAPPROVED                 ,08/29/2017 00:00:00
BUSINESS,1,P,PLAN EXAM - APPROVED                    ,08/01/2017 00:00:00
BUSINESS,1,D,APPLICATION PROCESSED - ENTIRE          ,07/28/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/16/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/02/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/28/2017 00:00:00
BUSINESS,20,D,APPLICATION PROCESSED - ENTIRE          ,10/05/2017 00:00:00
BUSINESS,1,D,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/02/2017 00:00:00
BUSINESS,1,D,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/28/2017 00:00:00
BUSINESS,3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/22/2017 00:00:00
BUSINESS,2,R,PLAN EXAM - DISAPPROVED                 ,10/04/2017 00:00:00
BUSINESS,8,R,APPLICATION PROCESSED - ENTIRE          ,10/04/2017 00:00:00
BUSINESS,18,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/04/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/11/2017 00:00:00
BUSINESS,2,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/06/2017 00:00:00
BUSINESS,5,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/10/2017 00:00:00
BUSINESS,3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/31/2017 00:00:00
BUSINESS,2,P,PLAN EXAM - APPROVED                    ,09/20/2017 00:00:00
BUSINESS,2,J,PLAN EXAM - DISAPPROVED                 ,10/11/2017 00:00:00
BUSINESS,20,D,APPLICATION PROCESSED - ENTIRE          ,08/25/2017 00:00:00
BUSINESS,30,D,APPLICATION PROCESSED - ENTIRE          ,08/24/2017 00:00:00
BUSINESS,19,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/11/2017 00:00:00
BUSINESS,1,J,PLAN EXAM - APPROVED                    ,10/03/2017 00:00:00
BUSINESS,2,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/14/2017 00:00:00
BUSINESS,6,R,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
BUSINESS,1,P,PLAN EXAM - APPROVED                    ,09/15/2017 00:00:00
BUSINESS,1,J,PLAN EXAM - DISAPPROVED                 ,10/03/2017 00:00:00
BUSINESS,10,D,APPLICATION PROCESSED - ENTIRE          ,08/15/2017 00:00:00
BUSINESS,4,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/19/2017 00:00:00
BUSINESS,2,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/06/2017 00:00:00
BUSINESS,2,J,PLAN EXAM - DISAPPROVED                 ,08/03/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/28/2017 00:00:00
BUSINESS,6,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/29/2017 00:00:00
BUSINESS,20,D,APPLICATION PROCESSED - ENTIRE          ,08/16/2017 00:00:00
BUSINESS,10,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/03/2017 00:00:00
BUSINESS,1,P,PLAN EXAM - APPROVED                    ,09/28/2017 00:00:00
BUSINESS,1,R,PLAN EXAM - DISAPPROVED                 ,10/03/2017 00:00:00
BUSINESS,4,R,APPLICATION PROCESSED - ENTIRE          ,10/03/2017 00:00:00
BUSINESS,1,D,APPLICATION PROCESSED - ENTIRE          ,10/11/2017 00:00:00
BUSINESS,6,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/30/2017 00:00:00
BUSINESS,6,P,PLAN EXAM - APPROVED                    ,07/28/2017 00:00:00
BUSINESS,30,D,APPLICATION PROCESSED - ENTIRE          ,09/14/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/26/2017 00:00:00
BUSINESS,1,P,PLAN EXAM - APPROVED                    ,08/25/2017 00:00:00
BUSINESS,6,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/17/2017 00:00:00
BUSINESS,3,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,08/18/2017 00:00:00
BUSINESS,2,D,APPLICATION PROCESSED - ENTIRE          ,09/20/2017 00:00:00
BUSINESS,2,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,10/12/2017 00:00:00
BUSINESS,1,P,PLAN EXAM - APPROVED                    ,10/06/2017 00:00:00
BUSINESS,1,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/25/2017 00:00:00
BUSINESS,10,D,APPLICATION PROCESSED - ENTIRE          ,09/08/2017 00:00:00
BUSINESS,4,R,PLAN EXAM - DISAPPROVED                 ,09/12/2017 00:00:00
BUSINESS,36,R,PERMIT ISSUED - ENTIRE JOB/WORK         ,09/12/2017 00:00:00
BUSINESS,16,R,APPLICATION PROCESSED - ENTIRE          ,09/12/2017 00:00:00
BUSINESS,4,D,APPLICATION PROCESSED - ENTIRE          ,08/18/2017 00:00:00
ADVERTISING,1,H,PLAN EXAM - IN PROCESS                  ,09/01/2017 00:00:00
