building_constructed,physically_disabled,public_space_type,category,count,avg_value,total_value,max_value
Completed,Full/Partial,Plaza,High Y,2,222205.5,444411.0,222650
Completed,Full/Partial,Plaza,Medium Y,3,213437.33333333334,640312.0,214729
Completed,Full/Partial,Urban Plaza,Medium Y,1,212562.0,212562.0,212562
Completed,Full/Partial,Residential Plaza,Low Y,1,207891.0,207891.0,207891
Completed,Full/Partial,Plaza; Subway Concourse; Through Block Arcade,Medium Y,1,215679.0,215679.0,215679
Completed,Full/Partial,Arcade; Plaza,Medium Y,2,216413.0,432826.0,219844
Completed,Full/Partial,Residential Plaza,Medium Y,3,215304.33333333334,645913.0,218665
Completed,Full/Partial,Plaza,Low Y,1,208569.0,208569.0,208569
Completed,Full/Partial,Residential Plaza,High Y,2,224109.0,448218.0,225537
Completed,Full/Partial,Special Permit Arcade; Special Permit Plaza; Underground Concourse,Medium Y,1,216933.0,216933.0,216933
Completed,Full/Partial,Pedestrian Circulation Space; Urban Plaza,Medium Y,1,214395.0,214395.0,214395
