activityid,t4_activityid,inspectionrequestid,t5_inspectionrequestid,originaloverride,category,count,avg_value,total_value,max_value
32687,32687,77457,77457,0,Medium Hours,1,6.5,6.5,6.5
50550,50550,132645,132645,0,Medium Hours,1,6.5,6.5,6.5
42892,42892,112082,112082,0,Low Hours,1,4.0,4.0,4.0
49734,49734,130187,130187,0,Low Hours,1,3.5,3.5,3.5
20562,20562,10050,10050,0,Low Hours,1,2.5,2.5,2.5
50692,50692,133367,133367,0,Medium Hours,1,6.5,6.5,6.5
41808,41808,109990,109990,0,Low Hours,1,3.5,3.5,3.5
41660,41660,109079,109079,0,Medium Hours,1,6.5,6.5,6.5
40077,40077,105445,105445,0,Medium Hours,1,4.5,4.5,4.5
50996,50996,133674,133674,0,Medium Hours,1,6.5,6.5,6.5
14546,14546,85733,85733,0,Low Hours,1,2.0,2.0,2.0
41554,41554,109510,109510,0,Medium Hours,1,5.5,5.5,5.5
48782,48782,128240,128240,1,Medium Hours,1,6.5,6.5,6.5
