bin,total_gross_income_per_sqft,queens_cooperatives_comparable_properties_address,queens_cooperatives_comparable_properties_address_1,bin_1,queens_cooperatives_comparable_properties_market_value_per_sqft,queens_cooperatives_comparable_properties_building_classification
4074614.0,15.4,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""66 15 THORNTON PLACE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4074614.0,63.0,D4-ELEVATOR
4116426.0,12.85,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""137 40 45 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4116426.0,48.3,D4-ELEVATOR
4434846.0,11.82,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""88 08 151 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4434846.0,41.7,D4-ELEVATOR
4115401.0,12.4,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""134 25 FRANKLIN AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4115401.0,46.6,D4-ELEVATOR
4007112.0,12.64,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""31 23 CRESCENT STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4007112.0,47.5,D4-ELEVATOR
4210164.0,11.8,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""170 06 88 AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4210164.0,41.6,D4-ELEVATOR
4052786.0,13.0,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 26 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""76 26 113 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4052786.0,48.8,D4-ELEVATOR
4064929.0,12.6,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""86 04 GRAND AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4064929.0,47.3,D4-ELEVATOR
4051462.0,16.2,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""105 10 65 ROAD"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4051462.0,66.0,D4-ELEVATOR
4113841.0,13.5,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""144 30 ROOSEVELT AVENUE"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4113841.0,51.0,D4-ELEVATOR
4052427.0,15.25,"{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}","{'latitude': '40.749436300045', 'longitude': '-73.797299799846', 'human_address': '{""address"": ""71 36 110 STREET"", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": """"}'}",4052427.0,62.0,D4-ELEVATOR
