fullpermitno,permitteecompany,t3_fullpermitno,axle2loadrating,oldpermitno,permitapplication,t5_oldpermitno,industrytypename
GPQZ-201482-862,,GPQZ-201482-862,7660.0,K8LU-2013826-762,Overweight,K8LU-2013826-762,Other
KUPW-2015711-595,,KUPW-2015711-595,9920.0,RT2R-201477-781,Overweight,RT2R-201477-781,Construction
EVWI-2014111-1096,,EVWI-2014111-1096,5750.0,JI2V-20131116-1071,Overweight,JI2V-20131116-1071,Other
GPQZ-201482-841,,GPQZ-201482-841,,MHBS-201394-782,Overweight,MHBS-201394-782,Other
HMQ7-2014117-1123,,HMQ7-2014117-1123,32400.0,PI1620131028-868,Overweight,PI1620131028-868,Construction
Z72R-2015423-406,,Z72R-2015423-406,8800.0,VUX8-2014426-476,Overweight,VUX8-2014426-476,Other
B2GR-20151122-1060,,B2GR-20151122-1060,5750.0,EVWI-2014111-1072,Overweight,EVWI-2014111-1072,Other
S8W5-2015421-382,,S8W5-2015421-382,24020.0,CL3E-2014320-316,Overweight,CL3E-2014320-316,Other
X7BE-2014109-955,,X7BE-2014109-955,26600.0,J1NZ-20131021-836,Overweight,J1NZ-20131021-836,Construction
XQAD-20141222-1294,,XQAD-20141222-1294,,0608-201443-368,Overweight,0608-201443-368,Construction
T8QG-20141218-1269,,T8QG-20141218-1269,24020.0,YRBW-20141010-977,Overweight,YRBW-20141010-977,Other
EVWI-2014111-1000,,EVWI-2014111-1000,5675.0,wj1o-2013322-256,Overweight,wj1o-2013322-256,Other
EVWI-2014111-1057,,EVWI-2014111-1057,5750.0,vsr5-2013329-291,Overweight,vsr5-2013329-291,Other
TILC-2015224-25,,TILC-2015224-25,6610.0,B3M4-201427-93,Overweight,B3M4-201427-93,Other
TMFM-2015819-747,,TMFM-2015819-747,5750.0,X7BE-2014109-946,Overweight,X7BE-2014109-946,Cement
ZVPY-2015914-788,,ZVPY-2015914-788,24020.0,evwi-2014111-1002,Overweight,evwi-2014111-1002,Other
EVWI-2014111-992,,EVWI-2014111-992,,XX3H-2013321-223,Overweight,XX3H-2013321-223,Other
DE7L-2014108-934,,DE7L-2014108-934,8800.0,K8LU-2013826-768,Overweight,K8LU-2013826-768,Other
GMEJ-2015722-660,,GMEJ-2015722-660,8100.0,RT2R-201477-773,Overweight,RT2R-201477-773,Construction
HMQ7-2014117-1132,,HMQ7-2014117-1132,8800.0,PI6W20131028874,Overweight,PI6W20131028874,Other
FJVQ-20151020-892,,FJVQ-20151020-892,6720.0,X7BE-2014109-973,Overweight,X7BE-2014109-973,Construction
V7G8-20151123-1086,,V7G8-20151123-1086,5750.0,EVWI-2014111-1096,Overweight,EVWI-2014111-1096,Other
V7G8-20151123-1100,,V7G8-20151123-1100,5750.0,evwi-2014111-1116,Overweight,evwi-2014111-1116,Other
TMFM-2015819-749,,TMFM-2015819-749,33500.0,J8DH-2014312-308,Overweight,J8DH-2014312-308,Construction
PWXH-2015821-755,,PWXH-2015821-755,,WIS5-20131118-1116,Overweight,WIS5-20131118-1116,Construction
PWXH-2015821-755,,PWXH-2015821-755,,WIS5-20131118-1116,Overweight,WIS5-20131118-1116,Construction
B2GR-20151122-1068,,B2GR-20151122-1068,24020.0,BGJT-2015225-43,Overweight,BGJT-2015225-43,Other
EVWI-2014111-1081,,EVWI-2014111-1081,5750.0,qjun-201342-329,Overweight,qjun-201342-329,Other
FG5G-2015930-823,,FG5G-2015930-823,,QPW6-201539-101,Overweight,QPW6-201539-101,Construction
EVWI-2014111-988,,EVWI-2014111-988,,JI2V-20131116-967,Overweight,JI2V-20131116-967,Construction
EVWI-2014111-1062,,EVWI-2014111-1062,5750.0,vsr5-2013329-293,Overweight,vsr5-2013329-293,Other
X7BE-2014109-961,,X7BE-2014109-961,,V278-2014212-142,Overweight,V278-2014212-142,Construction
