address_1,total,count,average
2 Penn Plaza,13928261.0,1,13928261.0
24 State Street,10251529.9,1,10251529.9
27-01 QUEENS PLAZA NORTH,8542142.5,1,8542142.5
41 Madison Ave,4836140.5,1,4836140.5
560 Lexington Avenue,3346902.0,1,3346902.0
1071 Fifth Avenue,3064978.2,1,3064978.2
8973 Bay Parkway Suite 1,1762835.8,1,1762835.8
149-11 Melbourne Avenue,1642399.8,1,1642399.8
215 West 114th Street,1527199.7,1,1527199.7
439 West 49th Street,1343999.8,1,1343999.8
54-25 Skillman Avenue,1300617.9,1,1300617.9
800 Gates Avenue,1260183.5,1,1260183.5
35-01 Union Street,1102159.8,1,1102159.8
149 East Mosholu Parkway,1079199.8,1,1079199.8
120 East 184th Street,1035959.8,1,1035959.8
350 Gerard Avenue,1019556.4,1,1019556.4
15-30 Petracca Place,920156.4,1,920156.4
57-12 94th Street,799999.9,1,799999.9
34 West 118th Street,770399.9,1,770399.9
194 Harman Street,756399.9,1,756399.9
33-09 35th Avenue,690799.9,1,690799.9
900 Tinton Avenue,687999.9,1,687999.9
188 Rochester Avenue,583599.9,1,583599.9
223 Graham Avenue,577599.9,1,577599.9
74-01 78th Avenue,565599.9,1,565599.9
250 West 18th Street,551999.9,1,551999.9
9115 5th Avenue,545599.9,1,545599.9
616 Quincy Street,539599.9,1,539599.9
681 Kelly Street,538799.9,1,538799.9
8010 12th Avenue,486399.9,1,486399.9
179-01 90th Avenue,455479.9,1,455479.9
400 Ashford Street,422239.9,1,422239.9
420 Beach 51st Street,421920.0,1,421920.0
70 Ocean Parkway,407597.5,1,407597.5
1399 Ogden Avenue,377200.0,1,377200.0
1007 Evergreen Avenue,355200.0,1,355200.0
490 Hudson Street,351519.9,1,351519.9
1070 Castle Hill Avenue,334720.0,1,334720.0
58 Lawrence Avenue,332000.0,1,332000.0
65-10 Dieterle Crescent,328132.0,1,328132.0
116 West 11th Street,326812.0,1,326812.0
1695 Seward Avenue,323040.0,1,323040.0
1375 Mace Avenue,289120.0,1,289120.0
1328 Putnam Avenue,269360.0,1,269360.0
825 4th Avenue,266240.0,1,266240.0
2944 Pitkin Avenue,261200.0,1,261200.0
227 Sterling Place,230411.8,1,230411.8
75-10 21st Avenue,226400.0,1,226400.0
4210 Arthur Kill Road,84000.0,1,84000.0
639 St Ann's Avenue,8400.0,1,8400.0
