queens_condominium_property_address,t3_queens_condominium_property_address,queens_condominium_property_neighborhood,queens_condominium_property_market_value_per_sqft,latitude,longitude,t5_latitude,t5_longitude,queens_condominium_property_est_gross_income
85-15 MAIN STREET,85-15 MAIN STREET,BRIARWOOD,63.0,40.709687,-73.819265,40.709687,-73.819265,3288946
135-08 82 AVENUE,135-08 82 AVENUE,BRIARWOOD,51.0,40.714545,-73.822668,40.714545,-73.822668,285000
94-31 60 AVENUE,94-31 60 AVENUE,ELMHURST,42.0,40.734349,-73.865897,40.734349,-73.865897,4080186
42-15 81 STREET,42-15 81 STREET,ELMHURST,67.0,40.742806,-73.884112,40.742806,-73.884112,2357640
41-28 71 STREET,41-28 71 STREET,ELMHURST,43.6,40.744073,-73.894052,40.744073,-73.894052,177548
78-10 153 AVENUE,78-10 153 AVENUE,HOWARD BEACH,49.0,40.665531,-73.855885,40.665531,-73.855885,759800
65-36 WETHEROLE STREET,65-36 WETHEROLE STREET,REGO PARK,43.6,40.726309,-73.859011,40.726309,-73.859011,928536
27-16 41 AVENUE,27-16 41 AVENUE,LONG ISLAND CITY,104.0,40.751705,-73.938134,40.751705,-73.938134,648450
104-19 39 AVENUE,104-19 39 AVENUE,CORONA,91.0,40.750796,-73.861656,40.750796,-73.861656,294000
41-14 68 STREET,41-14 68 STREET,WOODSIDE,65.0,40.744133,-73.896823,40.744133,-73.896823,273577
14-34 110 STREET,14-34 110 STREET,COLLEGE POINT,87.0,40.784767,-73.85684,40.784767,-73.85684,633885
144-77 ROOSEVELT AVENUE,144-77 ROOSEVELT AVENUE,FLUSHING-NORTH,67.0,40.762372,-73.819332,40.762372,-73.819332,1829232
133-36 41 ROAD,133-36 41 ROAD,FLUSHING-NORTH,71.0,40.7569,-73.830442,40.7569,-73.830442,1373700
36-20 168 STREET,36-20 168 STREET,FLUSHING-NORTH,49.1,40.762573,-73.798033,40.762573,-73.798033,1232500
